PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39639130,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,2.0,0.0,0.0,808.2613024711609,0.30192833984611744,0.2075264406259339,0.21402147695339316,820.0,619.0,Early stopping due to no improvement (AdaptiveES).,0.9856849321504918,96.66463414634147
39639131,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,478.8850827217102,0.30192833984611744,0.2150387352269424,0.21507175233290565,470.0,269.0,Early stopping due to no improvement (AdaptiveES).,1.0189052815132953,96.6936170212766
39639132,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,565.1038582324982,0.30192833984611744,0.2167150900839123,0.21769170870235938,570.0,369.0,Early stopping due to no improvement (AdaptiveES).,0.991411056434899,96.64736842105263
39639133,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,4.0,0.0,0.0,506.17156648635864,0.30192833984611744,0.21212177362692597,0.271528165629624,350.0,149.0,Early stopping due to no improvement (AdaptiveES).,1.4462055962426321,98.63428571428571
39639134,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,506.7238793373108,0.30192833984611744,0.20694036259655127,0.2582524554439162,350.0,149.0,Early stopping due to no improvement (AdaptiveES).,1.4477835723331995,98.54
39639135,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,643.8680398464203,0.30192833984611744,0.21183899305607062,0.2504429413720273,450.0,249.0,Early stopping due to no improvement (AdaptiveES).,1.430818821059333,98.42
39639136,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,8.0,0.0,0.0,694.764899969101,0.30192833984611744,0.20161852790692852,0.23010158548668277,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,2.241178257234635,99.84838709677419
39639137,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,693.4655599594116,0.30192833984611744,0.20877495719032274,0.22443628239858449,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,2.236986796317562,99.85161290322581
39639138,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,708.8720595836639,0.30192833984611744,0.20872051718060236,0.24445028431392343,320.0,119.0,Early stopping due to no improvement (AdaptiveES).,2.215226290374994,99.8
39639139,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,16.0,0.0,0.0,859.5266826152802,0.30192833984611744,0.2128521359146132,0.226626799206954,220.0,9.0,Early stopping due to no improvement (AdaptiveES).,3.906940899112008,99.72727272727273
39639140,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1401.9138476848602,0.30192833984611744,0.21226236833941475,0.23426615621110009,360.0,159.0,Early stopping due to no improvement (AdaptiveES).,3.894206056329939,99.85833333333333
39639141,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,859.9140150547028,0.30192833984611744,0.21252179555046846,0.22818909393039963,220.0,9.0,Early stopping due to no improvement (AdaptiveES).,3.90870157696984,99.78636363636363
39639142,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,32.0,0.0,0.0,2416.7840316295624,0.30192833984611744,0.20849447259896517,0.20855028237947829,300.0,269.0,Early stopping due no time.,8.055947890281677,99.82333333333334
39639143,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,2409.6198406219482,0.30192833984611744,0.21125222624607481,0.21795393223079432,300.0,279.0,Early stopping due no time.,8.032067417303722,99.75666666666666
39639144,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,2407.3605630397797,0.30192833984611744,0.21376172887443076,0.21473849763696748,300.0,279.0,Early stopping due no time.,8.024536380767822,99.79333333333334
39639145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39639146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39639147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39639148,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,2.0,0.0,0.0,259.1831831932068,0.30192833984611744,0.22131837536095283,0.2301626438442298,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.0367342014312744,96.52
39639149,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,264.79493498802185,0.30192833984611744,0.22053837942344617,0.23572110961047513,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.0184434487269476,96.4423076923077
39639150,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,274.3176462650299,0.30192833984611744,0.21897875685999235,0.22986613970004363,270.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.0159918537846317,96.54074074074074
39639151,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,4.0,0.0,0.0,501.0918028354645,0.30192833984611744,0.21919546976879026,0.23889325421786856,350.0,149.0,Early stopping due to no improvement (AdaptiveES).,1.4316919551576888,98.52
39639152,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,378.43171787261963,0.30192833984611744,0.21502916765691915,0.23018439858010403,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.455507834141071,98.51923076923077
39639153,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,378.18118262290955,0.30192833984611744,0.21411165836444712,0.22540966541435373,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.454544159082266,98.5
39639154,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,8.0,0.0,0.0,741.2542562484741,0.30192833984611744,0.21260780708884022,0.2231667469031215,340.0,129.0,Early stopping due to no improvement (AdaptiveES).,2.1801606697194718,99.87647058823529
39639155,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,730.47292137146,0.30192833984611744,0.21141772336800754,0.229388503948817,330.0,129.0,Early stopping due to no improvement (AdaptiveES).,2.2135554335334082,99.80909090909091
39639156,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,730.8569362163544,0.30192833984611744,0.21783011633557905,0.22842359009321425,330.0,129.0,Early stopping due to no improvement (AdaptiveES).,2.214718962438179,99.87272727272727
39639157,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,16.0,0.0,0.0,1015.8427102565765,0.30192833984611744,0.2218820461965293,0.22948206233101925,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,3.9070887363873994,99.80384615384615
39639158,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,1048.9652016162872,0.30192833984611744,0.2219985532297588,0.22916924043717882,270.0,69.0,Early stopping due to no improvement (AdaptiveES).,3.8850569248199465,99.84444444444445
39639159,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,1434.3702065944672,0.30192833984611744,0.22150361066546834,0.236816230371747,370.0,159.0,Early stopping due to no improvement (AdaptiveES).,3.876677227664638,99.88108108108108
39639160,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-05,32.0,0.0,0.0,1879.4149613380432,0.30192833984611744,0.2214493863552879,0.2244554759739288,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,7.830896992484728,99.75
