PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39676083,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,2.0,0.0,0.0,247.23986744880676,0.3285341063758571,0.23772912774244404,0.2908556762351335,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,0.9889600162506104,94.796
39676084,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,337.3181436061859,0.3285341063758571,0.2347497221527342,0.30026056719051253,350.0,139.0,Early stopping due to no improvement (AdaptiveES).,0.9637665843963623,94.10285714285715
39676085,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,219.84351515769958,0.3285341063758571,0.25199860092215476,0.32170452122516535,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,0.9992901086807251,94.42727272727272
39676086,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,4.0,0.0,0.0,302.14236402511597,0.3285341063758571,0.23308185543347545,0.2358644776946026,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,1.258927047252655,96.9125
39676087,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,325.623895406723,0.3285341063758571,0.2365909841664292,0.2709814566337269,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.2524004257642305,96.65
39676088,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,530.233630657196,0.3285341063758571,0.2293711485037839,0.2459218584041151,440.0,239.0,Early stopping due to no improvement (AdaptiveES).,1.2050771317698739,97.30909090909091
39676089,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,8.0,0.0,0.0,457.57383942604065,0.3285341063758571,0.236919610446592,0.2468089738754373,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.8302961320877076,99.812
39676090,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,633.1539657115936,0.3285341063758571,0.23840077637167334,0.24053241021469862,350.0,149.0,Early stopping due to no improvement (AdaptiveES).,1.8090123455865041,99.78857142857143
39676091,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,458.1310820579529,0.3285341063758571,0.2370570202227934,0.24929619760785898,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.8325252628326416,99.736
39676092,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,0.0005,16.0,0.0,0.0,677.160826921463,0.3285341063758571,0.23146394624999303,0.23834894051203737,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,2.9441782443419746,99.71304347826087
