PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638118,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,2,0.0,0.0,105.25404858589172,0.38732843924593524,0.36793540933424773,0.38188965069185743,250,49,Early stopping due to no improvement (AdaptiveES).,0.4210176391601563,54.728
39638119,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,2,0.0001,0.0,135.76587867736816,0.38732843924593524,0.3474136528301814,0.3567600999684798,360,159,Early stopping due to no improvement (AdaptiveES).,0.37712850570678713,54.03055555555556
39638120,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,2,0.0015,0.0,220.85480499267578,0.38732843924593524,0.3514387884294789,0.49704852755745127,630,429,Early stopping due to no improvement (AdaptiveES).,0.3505639008113316,54.58730158730159
39638121,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,4,0.0,0.0,221.85079860687256,0.38732843924593524,0.3397554178222016,0.35619974079717437,570,369,Early stopping due to no improvement (AdaptiveES).,0.3892126765167504,77.23684210526316
39638122,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,4,0.0001,0.0,165.63138675689697,0.38732843924593524,0.34450742218646,0.34641283734459405,420,219,Early stopping due to no improvement (AdaptiveES).,0.3943609294437227,77.03095238095239
39638123,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,4,0.0015,0.0,235.56102848052979,0.38732843924593524,0.346575656600657,0.3544050599979422,590,389,Early stopping due to no improvement (AdaptiveES).,0.39925676806498384,77.01186440677967
39638124,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,8,0.0,0.0,185.85779643058777,0.38732843924593524,0.3398520850151987,0.34979765426512954,370,159,Early stopping due to no improvement (AdaptiveES).,0.5023194048855756,89.05405405405405
39638125,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,8,0.0001,0.0,213.8955545425415,0.38732843924593524,0.3496009847827709,0.35578778486717355,430,229,Early stopping due to no improvement (AdaptiveES).,0.49743242263793946,89.00232558139535
39638126,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,8,0.0015,0.0,232.1101357936859,0.38732843924593524,0.34081850813548065,0.3513830730684765,470,269,Early stopping due to no improvement (AdaptiveES).,0.49385217047752217,88.56382978723404
39638127,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,16,0.0,0.0,210.06764435768127,0.38732843924593524,0.3497223910810636,0.360433122413906,290,89,Early stopping due to no improvement (AdaptiveES).,0.7243724896990019,96.08275862068966
39638128,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,16,0.0001,0.0,251.47807598114014,0.38732843924593524,0.3520982811209207,0.35838572188457174,350,149,Early stopping due to no improvement (AdaptiveES).,0.7185098879677909,96.39714285714285
39638129,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,16,0.0015,0.0,343.29588317871094,0.38732843924593524,0.3359610293912725,0.3411738739932205,490,289,Early stopping due to no improvement (AdaptiveES).,0.7006046397345407,96.83877551020409
39638130,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,32,0.0,0.0,498.12246465682983,0.38732843924593524,0.34175125081313396,0.3453507368813832,440,239,Early stopping due to no improvement (AdaptiveES).,1.1320974908091805,98.94545454545455
39638131,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,32,0.0001,0.0,564.6526470184326,0.38732843924593524,0.33580434615265037,0.36317872612940444,500,299,Early stopping due to no improvement (AdaptiveES).,1.1293060693740844,98.666
39638132,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,32,0.0015,0.0,364.98524618148804,0.38732843924593524,0.3367631474071735,0.3407263251740911,320,109,Early stopping due to no improvement (AdaptiveES).,1.1405800804495811,98.721875
39638133,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,64,0.0,0.0,827.8281383514404,0.38732843924593524,0.3387989305234108,0.3521344510648645,430,229,Early stopping due to no improvement (AdaptiveES).,1.9251826330672863,99.78372093023256
39638134,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,64,0.0001,0.0,581.3720180988312,0.38732843924593524,0.34641730685563,0.35259158949310776,300,99,Early stopping due to no improvement (AdaptiveES).,1.9379074358940125,99.69
39638135,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,64,0.0015,0.0,618.7800624370575,0.38732843924593524,0.3423339781287756,0.3562596364495624,320,109,Early stopping due to no improvement (AdaptiveES).,1.9336885333061218,99.70625
39638136,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,2,0.0,0.0,93.77155041694641,0.38732843924593524,0.346133414129692,0.3475926108543218,240,39,Early stopping due to no improvement (AdaptiveES).,0.3907162795464198,54.78333333333333
