PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638954,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,2,0.0,0.0,160.85816431045532,0.2601172420819943,0.2520710823887258,0.29476206619020007,450,249,Early stopping due to no improvement (AdaptiveES).,0.35746342500050865,16.304444444444446
39638955,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,2,0.0001,0.0,101.08403444290161,0.2601172420819943,0.2574083359041946,0.25759368765852614,260,59,Early stopping due to no improvement (AdaptiveES).,0.3887860564085153,16.165384615384614
39638956,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,2,0.0015,0.0,87.97120213508606,0.2601172420819943,0.2601172420819943,0.2759417389388712,210,0,Early stopping due to no improvement (AdaptiveES).,0.4189119611467634,16.485714285714284
39638957,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,4,0.0,0.0,176.41937255859375,0.2601172420819943,0.22997504246651232,0.2638264127278268,510,309,Early stopping due to no improvement (AdaptiveES).,0.3459211316763186,22.347058823529412
39638958,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,4,0.0001,0.0,95.30897402763367,0.2601172420819943,0.23445363102532515,0.2799320019323435,250,49,Early stopping due to no improvement (AdaptiveES).,0.38123728275299074,22.06
39638959,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,4,0.0015,0.0,127.39546537399292,0.2601172420819943,0.2426772405672642,0.253895671766833,350,149,Early stopping due to no improvement (AdaptiveES).,0.36398805618286134,21.9
39638960,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,8,0.0,0.0,193.75950384140015,0.2601172420819943,0.24202866228182773,0.2505353069082115,550,349,Early stopping due to no improvement (AdaptiveES).,0.35229078076102516,34.847272727272724
39638961,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,8,0.0001,0.0,112.52016258239746,0.2601172420819943,0.2416973928542858,0.2705016073677093,290,89,Early stopping due to no improvement (AdaptiveES).,0.38800106541863805,34.42068965517242
39638962,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,8,0.0015,0.0,111.96785092353821,0.2601172420819943,0.22899701972166128,0.24855188514313328,290,79,Early stopping due to no improvement (AdaptiveES).,0.38609655150051775,35.34827586206897
39638963,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,16,0.0,0.0,97.59413003921509,0.2601172420819943,0.23844038912655194,0.25213588445661655,240,39,Early stopping due to no improvement (AdaptiveES).,0.40664347807566326,57.24166666666667
