PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Dataset_10,Forecast Horizon_10,TS Amount_10,Windows_10,Dataset_11,Forecast Horizon_11,TS Amount_11,Windows_11,Dataset_12,Forecast Horizon_12,TS Amount_12,Windows_12,Dataset_13,Forecast Horizon_13,TS Amount_13,Windows_13,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39677631,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,2,0.0,0.0,2140.108197450638,0.362410051070177,0.31503788402704386,0.3161220627652019,280,79,Early stopping due to no improvement (AdaptiveES).,7.643244913646153,13.596428571428572
39677632,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,2,0.0001,0.0,3603.7312042713165,0.362410051070177,0.28117303127218546,0.29051987834414944,427,289,Early stopping due no time.,8.439652504351436,14.52224824355972
39677633,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,2,0.0015,0.0,3336.0081629753113,0.362410051070177,0.2860811786790706,0.553663413724541,400,189,Early stopping due to no improvement (AdaptiveES).,8.340021417737008,14.1875
39677634,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,4,0.0,0.0,3669.0994539260864,0.362410051070177,0.29116366695416873,0.29116366695416873,250,249,Early stopping due no time.,14.67639935874939,20.048
39677635,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,4,0.0001,0.0,3619.13853764534,0.362410051070177,0.33403763973002576,0.37463663293698896,250,219,Early stopping due no time.,14.476554793357849,19.376
39677636,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,4,0.0015,0.0,3088.423373937607,0.362410051070177,0.362410051070177,0.5556193370426055,210,0,Early stopping due to no improvement (AdaptiveES).,14.706779660497393,19.99047619047619
39677637,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,8,0.0,0.0,3585.3252096176147,0.362410051070177,0.2762251809781185,0.289894833753491,114,89,Early stopping due no time.,31.450223663397004,33.89473684210526
39677638,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,8,0.0001,0.0,3578.128309726715,0.362410051070177,0.2635591982067455,0.331501509686432,115,79,Early stopping due no time.,31.114160261983457,35.3304347826087
39677639,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,0.0005,8,0.0015,0.0,3582.812945127487,0.362410051070177,0.2919955326024361,0.2982934422909733,120,79,Early stopping due no time.,29.856776881217957,34.3
39677640,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,2,0.0,0.0,1996.993038892746,0.362410051070177,0.3359227201666266,0.3809941665141087,260,49,Early stopping due to no improvement (AdaptiveES).,7.6807430698321415,11.942307692307692
39677641,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,2,0.0001,0.0,1969.822538614273,0.362410051070177,0.3360043137774249,0.4132149806154429,260,49,Early stopping due to no improvement (AdaptiveES).,7.57624117227701,12.084615384615384
39677642,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,2,0.0015,0.0,1956.3749766349792,0.362410051070177,0.336213032790287,0.398577591658574,260,49,Early stopping due to no improvement (AdaptiveES).,7.524519753456116,11.853846153846154
39677643,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,4,0.0,0.0,3335.9175069332123,0.362410051070177,0.3513006636664137,0.47102622255188953,230,19,Early stopping due to no improvement (AdaptiveES).,14.503990165047023,20.652173913043477
39677644,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,4,0.0001,0.0,3342.1476933956146,0.362410051070177,0.35138492505995755,0.44050034573950453,230,19,Early stopping due to no improvement (AdaptiveES).,14.531078440210093,18.878260869565217
39677645,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,4,0.0015,0.0,3349.1762437820435,0.362410051070177,0.35079897702542934,0.4515622287729441,230,19,Early stopping due to no improvement (AdaptiveES).,14.561637320725815,18.46086956521739
39677646,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,8,0.0,0.0,3586.1505234241486,0.362410051070177,0.362410051070177,0.3900841362519337,122,0,Early stopping due no time.,29.394677226660683,33.42622950819672
39677647,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,8,0.0001,0.0,3587.0503962039948,0.362410051070177,0.362410051070177,0.39700934171820434,122,0,Early stopping due no time.,29.402055449173098,33.40983606557377
39677648,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-05,8,0.0015,0.0,3576.4649753570557,0.362410051070177,0.362410051070177,0.39239248028015655,115,0,Early stopping due no time.,31.099697896708612,34.7304347826087
39677649,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,2,0.0,0.0,2160.2861070632935,0.362410051070177,0.3583898370672607,0.3739703376304393,280,79,Early stopping due to no improvement (AdaptiveES).,7.7153088118348805,12.571428571428571
39677650,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,2,0.0001,0.0,2044.6573524475098,0.362410051070177,0.3588400024941695,0.37311461280646346,270,69,Early stopping due to no improvement (AdaptiveES).,7.572806558785615,11.744444444444444
39677651,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,2,0.0015,0.0,2072.5702064037323,0.362410051070177,0.35907513472017544,0.37283966109860256,270,69,Early stopping due to no improvement (AdaptiveES).,7.6761873474827516,12.377777777777778
39677652,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,4,0.0,0.0,3603.7760665416718,0.362410051070177,0.3603385073098525,0.3863186171155903,250,59,Early stopping due no time.,14.415105731010437,20.5
39677653,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,4,0.0001,0.0,3597.448982477188,0.362410051070177,0.3601407177219623,0.38697025313703,253,59,Early stopping due no time.,14.21916666803624,18.881422924901187
39677654,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,4,0.0015,0.0,3626.938683986664,0.362410051070177,0.3607196152633164,0.38658256953810316,250,59,Early stopping due no time.,14.507755423545838,19.524
39677655,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,8,0.0,0.0,3584.5438351631165,0.362410051070177,0.3623472855219387,0.3759050681340514,113,9,Early stopping due no time.,31.721627545567742,35.23893805309734
39677656,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,8,0.0001,0.0,3582.787467479706,0.362410051070177,0.362410051070177,0.3770628111107845,120,0,Early stopping due no time.,29.856564639012017,36.44166666666667
39677657,SZ_TAXI/H,48,312,1,electricity/H,48,7380,1,electricity/W,8,1104,1,LOOP_SEATTLE/D,30,646,1,hospital,12,767,1,solar/W,8,137,1,us_births/D,30,20,1,M_DENSE/D,30,90,1,covid_deaths,30,226,1,SZ_TAXI/15T,48,1092,1,hierarchical_sales/D,30,826,1,hierarchical_sales/D,30,826,1,saugeenday/W,8,20,1,3600,5e-06,8,0.0015,0.0,3579.574023962021,0.362410051070177,0.362410051070177,0.375542257900616,118,0,Early stopping due no time.,30.335373967380846,32.33050847457627
