PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Dataset_10,Forecast Horizon_10,TS Amount_10,Windows_10,Dataset_11,Forecast Horizon_11,TS Amount_11,Windows_11,Dataset_12,Forecast Horizon_12,TS Amount_12,Windows_12,Dataset_13,Forecast Horizon_13,TS Amount_13,Windows_13,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39673088,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,2.0,0.0,0.0,2417.019904613495,0.362410051070177,0.3496489727623887,0.3496489727623887,130.0,129.0,Early stopping due no time.,18.59246299633613,37.184615384615384
39673089,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,2402.315631389618,0.362410051070177,0.27927499804021777,0.34530665748962514,130.0,109.0,Early stopping due no time.,18.479351946023794,37.53846153846154
39673090,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,2404.6936638355255,0.362410051070177,0.31272304440962834,0.4060245096254363,129.0,89.0,Early stopping due no time.,18.641038410423338,36.34108527131783
39673091,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,4.0,0.0,0.0,2380.6803267002106,0.362410051070177,0.33059149533958937,0.4053229695967722,69.0,29.0,Early stopping due no time.,34.502614173336305,45.333333333333336
39673092,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,2376.054292678833,0.362410051070177,0.27408796754471443,0.27408796754471443,68.0,59.0,Early stopping due no time.,34.941975607591516,44.48529411764706
39673093,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,2387.8860976696014,0.362410051070177,0.3074223380727976,0.3074223380727976,69.0,59.0,Early stopping due no time.,34.607045640116155,49.869565217391305
39673094,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,8.0,0.0,0.0,2347.208099603653,0.362410051070177,0.2913958756019857,0.2913958756019857,35.0,29.0,Early stopping due no time.,67.06308983394078,47.91428571428571
39673095,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,2376.3670876026154,0.362410051070177,0.28995800572859065,0.36679987693781807,35.0,19.0,Early stopping due no time.,67.89620368821281,48.114285714285714
39673096,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,2549.297398328781,0.362410051070177,0.30010697826660415,0.30010697826660415,36.0,29.0,Early stopping due no time.,70.81381775273218,48.27777777777778
39673097,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,16.0,0.0,0.0,2286.436119556427,0.362410051070177,0.3569076301161446,0.3569076301161446,20.0,19.0,Early stopping due no time.,114.32180781364441,49.1
