PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39601605,LOOP_SEATTLE/D,30,646,1,2400,0.0005,2,0.0,0.0,104.18952584266663,2.1067198848724367,1.9085930132865905,2.0211904364824296,220,9,Early stopping due to no improvement (AdaptiveES).,0.47359017783945256,29.62272727272727
39601606,LOOP_SEATTLE/D,30,646,1,2400,0.0005,2,0.0001,0.0,102.4621422290802,2.1067198848724367,1.9091676318645476,2.002241523861885,210,9,Early stopping due to no improvement (AdaptiveES).,0.48791659673055016,27.97142857142857
39601607,LOOP_SEATTLE/D,30,646,1,2400,0.0005,2,0.0015,0.0,102.31093835830688,2.1067198848724367,1.9079961669445038,2.011361617445946,210,9,Early stopping due to no improvement (AdaptiveES).,0.4871964352471488,28.376190476190477
39601608,LOOP_SEATTLE/D,30,646,1,2400,0.0005,4,0.0,0.0,129.31193256378174,2.1067198848724367,1.857954789996147,2.163407944440842,290,89,Early stopping due to no improvement (AdaptiveES).,0.4459044472924594,49.751724137931035
39601609,LOOP_SEATTLE/D,30,646,1,2400,0.0005,4,0.0001,0.0,119.10891222953796,2.1067198848724367,1.862462311387062,2.2378730112314225,250,49,Early stopping due to no improvement (AdaptiveES).,0.47643700218200685,46.84
39601610,LOOP_SEATTLE/D,30,646,1,2400,0.0005,4,0.0015,0.0,118.02518463134766,2.1067198848724367,1.8408274561166764,2.108476530313492,250,49,Early stopping due to no improvement (AdaptiveES).,0.4721020555496216,47.544
39601611,LOOP_SEATTLE/D,30,646,1,2400,0.0005,8,0.0,0.0,123.25314140319824,2.1067198848724367,1.860017219185829,2.210015569329262,240,39,Early stopping due to no improvement (AdaptiveES).,0.5135561803976695,74.77083333333333
39601612,LOOP_SEATTLE/D,30,646,1,2400,0.0005,8,0.0001,0.0,116.79623746871948,2.1067198848724367,1.8614346385002136,2.1964380145072937,240,29,Early stopping due to no improvement (AdaptiveES).,0.4866523136695226,75.7875
39601613,LOOP_SEATTLE/D,30,646,1,2400,0.0005,8,0.0015,0.0,122.84310960769653,2.1067198848724367,1.8784295588731765,2.1683801829814913,250,49,Early stopping due to no improvement (AdaptiveES).,0.49137373638153076,74.828
39601614,LOOP_SEATTLE/D,30,646,1,2400,0.0005,16,0.0,0.0,131.13486194610596,2.1067198848724367,1.8647475677728653,2.1614766830205916,220,19,Early stopping due to no improvement (AdaptiveES).,0.5960689663887024,86.83636363636364
39601615,LOOP_SEATTLE/D,30,646,1,2400,0.0005,16,0.0001,0.0,133.10118293762207,2.1067198848724367,1.8637220627069473,2.2484474247694015,220,19,Early stopping due to no improvement (AdaptiveES).,0.6050068205053156,86.02727272727273
39601616,LOOP_SEATTLE/D,30,646,1,2400,0.0005,16,0.0015,0.0,133.59365320205688,2.1067198848724367,1.8588872212171554,2.2034015905857087,220,19,Early stopping due to no improvement (AdaptiveES).,0.6072452956979925,86.01818181818182
39601617,LOOP_SEATTLE/D,30,646,1,2400,0.0005,32,0.0,0.0,166.15919280052185,2.1067198848724367,1.891449266076088,2.2957764303684236,210,9,Early stopping due to no improvement (AdaptiveES).,0.7912358601888021,97.18095238095238
39601618,LOOP_SEATTLE/D,30,646,1,2400,0.0005,32,0.0001,0.0,164.1885244846344,2.1067198848724367,1.8922131288051605,2.2046103370189667,210,9,Early stopping due to no improvement (AdaptiveES).,0.781851677667527,97.15714285714286
39601619,LOOP_SEATTLE/D,30,646,1,2400,0.0005,32,0.0015,0.0,167.6781711578369,2.1067198848724367,1.8937053829431534,2.3264218938350676,210,9,Early stopping due to no improvement (AdaptiveES).,0.79846902461279,96.96190476190476
39601620,LOOP_SEATTLE/D,30,646,1,2400,0.0005,64,0.0,0.0,262.56004571914673,2.1067198848724367,1.8835437458753586,2.277625701725483,220,19,Early stopping due to no improvement (AdaptiveES).,1.1934563745151867,99.56363636363636
39601621,LOOP_SEATTLE/D,30,646,1,2400,0.0005,64,0.0001,0.0,260.7028658390045,2.1067198848724367,1.8838408958911896,2.307217157483101,220,19,Early stopping due to no improvement (AdaptiveES).,1.1850146066058767,99.56363636363636
39601622,LOOP_SEATTLE/D,30,646,1,2400,0.0005,64,0.0015,0.0,255.54275369644165,2.1067198848724367,1.882439861893654,2.295726592540741,220,19,Early stopping due to no improvement (AdaptiveES).,1.1615594018589366,99.55909090909091
39601623,LOOP_SEATTLE/D,30,646,1,2400,5e-05,2,0.0,0.0,164.80795216560364,2.1067198848724367,1.8603386563062667,1.9712763887643814,370,159,Early stopping due to no improvement (AdaptiveES).,0.44542786430668185,27.997297297297298
39601624,LOOP_SEATTLE/D,30,646,1,2400,5e-05,2,0.0001,0.0,157.9844033718109,2.1067198848724367,1.8613836503028869,1.9684021973609924,370,159,Early stopping due to no improvement (AdaptiveES).,0.42698586180403425,29.713513513513515
39601625,LOOP_SEATTLE/D,30,646,1,2400,5e-05,2,0.0015,0.0,162.7740774154663,2.1067198848724367,1.8633195823431015,1.9753600162267686,370,159,Early stopping due to no improvement (AdaptiveES).,0.4399305098765605,28.37027027027027
39601626,LOOP_SEATTLE/D,30,646,1,2400,5e-05,4,0.0,0.0,118.15821051597595,2.1067198848724367,1.8640838265419006,1.872960255742073,240,39,Early stopping due to no improvement (AdaptiveES).,0.49232718447844187,47.96666666666667
39601627,LOOP_SEATTLE/D,30,646,1,2400,5e-05,4,0.0001,0.0,152.78289890289307,2.1067198848724367,1.8544754672050476,1.9372164869308472,350,139,Early stopping due to no improvement (AdaptiveES).,0.4365230505807059,48.79142857142857
39601628,LOOP_SEATTLE/D,30,646,1,2400,5e-05,4,0.0015,0.0,155.09178256988525,2.1067198848724367,1.8613744670152663,1.9494867330789567,350,149,Early stopping due to no improvement (AdaptiveES).,0.44311985083988736,47.73714285714286
39601629,LOOP_SEATTLE/D,30,646,1,2400,5e-05,8,0.0,0.0,125.7209243774414,2.1067198848724367,1.8606365698575973,1.9214623647928237,260,59,Early stopping due to no improvement (AdaptiveES).,0.4835433849921593,75.5
39601630,LOOP_SEATTLE/D,30,646,1,2400,5e-05,8,0.0001,0.0,132.48353791236877,2.1067198848724367,1.8583164477348328,1.9433351057767867,270,69,Early stopping due to no improvement (AdaptiveES).,0.4906810689855505,75.2
39601631,LOOP_SEATTLE/D,30,646,1,2400,5e-05,8,0.0015,0.0,163.4311168193817,2.1067198848724367,1.8590656399726868,2.0074548745155334,360,159,Early stopping due to no improvement (AdaptiveES).,0.4539757900767856,75.82777777777778
39601632,LOOP_SEATTLE/D,30,646,1,2400,5e-05,16,0.0,0.0,159.8265824317932,2.1067198848724367,1.8379885262250901,2.0738093054294584,280,79,Early stopping due to no improvement (AdaptiveES).,0.5708104653017861,87.45357142857142
39601633,LOOP_SEATTLE/D,30,646,1,2400,5e-05,16,0.0001,0.0,161.11448860168457,2.1067198848724367,1.8365308660268784,2.0769218546152115,280,79,Early stopping due to no improvement (AdaptiveES).,0.5754101685115269,87.04642857142858
39601634,LOOP_SEATTLE/D,30,646,1,2400,5e-05,16,0.0015,0.0,161.7601330280304,2.1067198848724367,1.8356854629516601,2.1114147514104844,280,79,Early stopping due to no improvement (AdaptiveES).,0.5777159171445029,86.53928571428571
39601635,LOOP_SEATTLE/D,30,646,1,2400,5e-05,32,0.0,0.0,179.45219087600708,2.1067198848724367,1.8871972364187242,2.24131691634655,230,19,Early stopping due to no improvement (AdaptiveES).,0.7802283214486163,97.3913043478261
39601636,LOOP_SEATTLE/D,30,646,1,2400,5e-05,32,0.0001,0.0,173.2356104850769,2.1067198848724367,1.8870610743761063,2.20590873003006,220,19,Early stopping due to no improvement (AdaptiveES).,0.7874360778115013,97.17272727272727
39601637,LOOP_SEATTLE/D,30,646,1,2400,5e-05,32,0.0015,0.0,187.42562413215637,2.1067198848724367,1.8858011263608931,2.2281919384002684,240,29,Early stopping due to no improvement (AdaptiveES).,0.7809415270884832,97.1125
39601638,LOOP_SEATTLE/D,30,646,1,2400,5e-05,64,0.0,0.0,280.0018880367279,2.1067198848724367,1.8952072489261627,2.319669335484505,240,39,Early stopping due to no improvement (AdaptiveES).,1.1666758984327317,99.57916666666667
39601639,LOOP_SEATTLE/D,30,646,1,2400,5e-05,64,0.0001,0.0,282.0418601036072,2.1067198848724367,1.8906070452928543,2.3415834313631056,240,39,Early stopping due to no improvement (AdaptiveES).,1.1751758674780528,99.5875
39601640,LOOP_SEATTLE/D,30,646,1,2400,5e-05,64,0.0015,0.0,283.5664737224579,2.1067198848724367,1.8922113811969756,2.3005190193653107,240,39,Early stopping due to no improvement (AdaptiveES).,1.1815285017093022,99.5875
39601641,LOOP_SEATTLE/D,30,646,1,2400,5e-06,2,0.0,0.0,273.766348361969,2.1067198848724367,1.8978877705335617,1.905435213446617,690,479,Early stopping due to no improvement (AdaptiveES).,0.3967635130536729,29.091304347826085
39601642,LOOP_SEATTLE/D,30,646,1,2400,5e-06,2,0.0001,0.0,281.8650460243225,2.1067198848724367,1.8978020507097244,1.9058857828378677,700,489,Early stopping due to no improvement (AdaptiveES).,0.40266502482550487,28.85857142857143
39601643,LOOP_SEATTLE/D,30,646,1,2400,5e-06,2,0.0015,0.0,292.8570809364319,2.1067198848724367,1.898447026014328,1.9080786073207856,730,519,Early stopping due to no improvement (AdaptiveES).,0.40117472459192144,28.802739726027397
39601644,LOOP_SEATTLE/D,30,646,1,2400,5e-06,4,0.0,0.0,248.95770645141602,2.1067198848724367,1.9114865851402283,1.9202048456668854,610,399,Early stopping due to no improvement (AdaptiveES).,0.40812812007841515,48.739344262295084
39601645,LOOP_SEATTLE/D,30,646,1,2400,5e-06,4,0.0001,0.0,256.98338508605957,2.1067198848724367,1.9111791157722473,1.9202693426609039,620,409,Early stopping due to no improvement (AdaptiveES).,0.4144899868196057,48.07741935483871
39601646,LOOP_SEATTLE/D,30,646,1,2400,5e-06,4,0.0015,0.0,300.1720938682556,2.1067198848724367,1.9121263951063157,1.9209320551156999,610,399,Early stopping due to no improvement (AdaptiveES).,0.4920860532854424,47.1327868852459
39601647,LOOP_SEATTLE/D,30,646,1,2400,5e-06,8,0.0,0.0,204.52131295204163,2.1067198848724367,1.9105619651079178,1.9142425006628037,460,259,Early stopping due to no improvement (AdaptiveES).,0.44461211691731994,75.51521739130435
39601648,LOOP_SEATTLE/D,30,646,1,2400,5e-06,8,0.0001,0.0,222.74903655052185,2.1067198848724367,1.9112520200014114,1.9144769978523255,450,249,Early stopping due to no improvement (AdaptiveES).,0.49499862353007,75.18888888888888
39601649,LOOP_SEATTLE/D,30,646,1,2400,5e-06,8,0.0015,0.0,221.05501890182495,2.1067198848724367,1.9102386677265166,1.9150054275989532,490,289,Early stopping due to no improvement (AdaptiveES).,0.45113345068328237,74.48979591836735
39601650,LOOP_SEATTLE/D,30,646,1,2400,5e-06,16,0.0,0.0,270.87372636795044,2.1067198848724367,1.9157523667812348,1.9260412764549255,500,299,Early stopping due to no improvement (AdaptiveES).,0.5417482056617737,86.464
39601651,LOOP_SEATTLE/D,30,646,1,2400,5e-06,16,0.0001,0.0,266.08425760269165,2.1067198848724367,1.9158704394102097,1.9255958181619643,490,289,Early stopping due to no improvement (AdaptiveES).,0.5430299136103416,86.87755102040816
39601652,LOOP_SEATTLE/D,30,646,1,2400,5e-06,16,0.0015,0.0,275.70285415649414,2.1067198848724367,1.915855016708374,1.9272509998083114,520,319,Early stopping due to no improvement (AdaptiveES).,0.5301985974495228,87.37307692307692
39601653,LOOP_SEATTLE/D,30,646,1,2400,5e-06,32,0.0,0.0,283.6975772380829,2.1067198848724367,1.9187216728925705,1.9279262721538544,370,169,Early stopping due to no improvement (AdaptiveES).,0.7667511843346261,97.48378378378378
39601654,LOOP_SEATTLE/D,30,646,1,2400,5e-06,32,0.0001,0.0,297.5268716812134,2.1067198848724367,1.9187558352947236,1.930441707968712,400,199,Early stopping due to no improvement (AdaptiveES).,0.7438180309534073,97.3425
39601655,LOOP_SEATTLE/D,30,646,1,2400,5e-06,32,0.0015,0.0,295.9114832878113,2.1067198848724367,1.9190839374065398,1.9314580553770064,400,199,Early stopping due to no improvement (AdaptiveES).,0.739779611825943,97.29
39601656,LOOP_SEATTLE/D,30,646,1,2400,5e-06,64,0.0,0.0,399.75689935684204,2.1067198848724367,1.9244253915548324,1.9369094896316528,350,149,Early stopping due to no improvement (AdaptiveES).,1.1421636165891376,99.72857142857143
39601657,LOOP_SEATTLE/D,30,646,1,2400,5e-06,64,0.0001,0.0,464.05193400382996,2.1067198848724367,1.9239393973350525,1.9465062606334687,410,209,Early stopping due to no improvement (AdaptiveES).,1.1318344569787746,99.76341463414634
39601658,LOOP_SEATTLE/D,30,646,1,2400,5e-06,64,0.0015,0.0,435.5783369541168,2.1067198848724367,1.9244658273458481,1.9425775021314622,380,179,Early stopping due to no improvement (AdaptiveES).,1.146259816069352,99.7421052631579
