PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39590398,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,2.0,0.0,0.0,489.12214708328247,53.71117451985677,50.21003200213114,50.79922731717428,520.0,319.0,Early stopping due to no improvement (AdaptiveES).,0.9406199945853306,99.8923076923077
39590399,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,498.77676725387573,53.71117451985677,49.22152881622314,49.82952879269918,530.0,329.0,Early stopping due to no improvement (AdaptiveES).,0.9410885882827471,99.88490566037736
39590400,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,390.55648708343506,53.71117451985677,49.881365092595416,50.642172527313235,410.0,209.0,Early stopping due to no improvement (AdaptiveES).,0.9525772600639157,99.84146341463415
39590401,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,4.0,0.0,0.0,1086.9952774047852,53.71117451985677,48.65803154309591,49.38173384666443,730.0,529.0,Early stopping due to no improvement (AdaptiveES).,1.4890351778840365,99.92054794520548
39590402,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,545.7383952140808,53.71117451985677,48.598129177093504,49.64355115890503,360.0,159.0,Early stopping due to no improvement (AdaptiveES).,1.5159404079119365,99.85555555555555
39590403,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,850.1694345474243,53.71117451985677,49.54853350321452,50.451568047205605,570.0,369.0,Early stopping due to no improvement (AdaptiveES).,1.4915256483513013,99.8859649122807
39590404,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,8.0,0.0,0.0,1102.495854139328,53.71117451985677,49.58655279477437,50.88175021807353,420.0,219.0,Early stopping due to no improvement (AdaptiveES).,2.624990529105777,99.87142857142857
39590405,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,894.184326171875,53.71117451985677,49.380779123306276,49.88822175661723,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,2.629955023877761,99.84705882352941
39590406,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,1118.590973854065,53.71117451985677,49.2456424554189,50.48674303690593,420.0,219.0,Early stopping due to no improvement (AdaptiveES).,2.6633122324943543,99.86904761904762
39590407,M_DENSE/H,48.0,600.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1678.2413861751556,53.71117451985677,49.49919025103251,51.79118440945943,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,4.936004608518937,99.82058823529412
