PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39555824,SZ_TAXI/15T,48,1092,1,2400,0.0005,2,0.0,0.0,676.1698753833771,3.464551804363728,2.9838468123972417,3.0078805924952032,650,449,Early stopping due to no improvement (AdaptiveES).,1.0402620520958534,96.42615384615385
39555825,SZ_TAXI/15T,48,1092,1,2400,0.0005,2,0.0001,0.0,407.28173208236694,3.464551804363728,2.7276455196738243,2.7417596447467805,380,179,Early stopping due to no improvement (AdaptiveES).,1.0717944803990815,96.40526315789474
39555826,SZ_TAXI/15T,48,1092,1,2400,0.0005,2,0.0015,0.0,606.2297365665436,3.464551804363728,2.7143397438526153,2.7296458457410337,580,379,Early stopping due to no improvement (AdaptiveES).,1.0452244183112835,96.30689655172414
39555827,SZ_TAXI/15T,48,1092,1,2400,0.0005,4,0.0,0.0,468.05495023727417,3.464551804363728,2.7243407961726187,2.7446171756088735,330,129,Early stopping due to no improvement (AdaptiveES).,1.4183494278878876,99.84242424242424
39555828,SZ_TAXI/15T,48,1092,1,2400,0.0005,4,0.0001,0.0,468.1772527694702,3.464551804363728,2.7111177411675453,2.7728140431642534,330,119,Early stopping due to no improvement (AdaptiveES).,1.4187200871380892,99.83030303030303
39555829,SZ_TAXI/15T,48,1092,1,2400,0.0005,4,0.0015,0.0,325.3372452259064,3.464551804363728,2.7971369683742524,3.163746993243694,220,9,Early stopping due to no improvement (AdaptiveES).,1.4788070906292308,99.67272727272727
39555830,SZ_TAXI/15T,48,1092,1,2400,0.0005,8,0.0,0.0,1519.982267856598,3.464551804363728,2.70795832157135,2.7149886620044708,720,509,Early stopping due to no improvement (AdaptiveES).,2.1110868136088055,99.89166666666667
39555831,SZ_TAXI/15T,48,1092,1,2400,0.0005,8,0.0001,0.0,1112.4010982513428,3.464551804363728,2.710575082153082,2.7220534268021583,520,319,Early stopping due to no improvement (AdaptiveES).,2.139233668950888,99.85576923076923
39555832,SZ_TAXI/15T,48,1092,1,2400,0.0005,8,0.0015,0.0,1619.4847395420074,3.464551804363728,2.716586025506258,2.7217664143443105,770,569,Early stopping due to no improvement (AdaptiveES).,2.103227258038211,99.9090909090909
39555833,SZ_TAXI/15T,48,1092,1,2400,0.0005,16,0.0,0.0,1741.745877981186,3.464551804363728,2.6991964749991895,2.7024966405332087,500,299,Early stopping due to no improvement (AdaptiveES).,3.4834925947189332,99.882
39555834,SZ_TAXI/15T,48,1092,1,2400,0.0005,16,0.0001,0.0,1468.6995613574982,3.464551804363728,2.7130182760953905,2.736297159790993,420,219,Early stopping due to no improvement (AdaptiveES).,3.496904194355011,99.85238095238095
39555835,SZ_TAXI/15T,48,1092,1,2400,0.0005,16,0.0015,0.0,2438.1642484664917,3.464551804363728,2.694715908318758,2.6998112253844737,696,619,Early stopping due no time.,3.503110201536924,99.88505747126437
39555836,SZ_TAXI/15T,48,1092,1,2400,0.0005,32,0.0,0.0,2413.6481511592865,3.464551804363728,2.6969291101396085,2.6969291101396085,376,369,Early stopping due no time.,6.419278200636518,99.74468085106383
39555837,SZ_TAXI/15T,48,1092,1,2400,0.0005,32,0.0001,0.0,2404.9518642425537,3.464551804363728,2.6897703178226946,2.7084850492328405,380,179,Early stopping due to no improvement (AdaptiveES).,6.328821755082983,99.79473684210527
39555838,SZ_TAXI/15T,48,1092,1,2400,0.0005,32,0.0015,0.0,2408.6409018039703,3.464551804363728,2.693455896675587,2.7182529020309447,382,219,Early stopping due no time.,6.305343687846398,99.80366492146597
39555839,SZ_TAXI/15T,48,1092,1,2400,0.0005,64,0.0,0.0,2409.377333164215,3.464551804363728,2.6913191747665404,2.7040255273133518,197,99,Early stopping due no time.,12.230343664963232,99.60406091370558
39555840,SZ_TAXI/15T,48,1092,1,2400,0.0005,64,0.0001,0.0,2409.9289100170135,3.464551804363728,2.6920561681687833,2.6920561681687833,197,189,Early stopping due no time.,12.233143321148635,99.69035532994924
39555841,SZ_TAXI/15T,48,1092,1,2400,0.0005,64,0.0015,0.0,2409.0898265838623,3.464551804363728,2.6913047067821028,2.6913047067821028,197,189,Early stopping due no time.,12.22888429515858,99.74619289340102
39555842,SZ_TAXI/15T,48,1092,1,2400,5e-05,2,0.0,0.0,461.53365445137024,3.464551804363728,2.6936828085780142,2.6986874143779276,440,239,Early stopping due to no improvement (AdaptiveES).,1.048940538818186,96.39090909090909
39555843,SZ_TAXI/15T,48,1092,1,2400,5e-05,2,0.0001,0.0,458.3530204296112,3.464551804363728,2.6911245033144953,2.7073657953739168,430,229,Early stopping due to no improvement (AdaptiveES).,1.0659376981646516,96.21860465116279
39555844,SZ_TAXI/15T,48,1092,1,2400,5e-05,2,0.0015,0.0,745.6562135219574,3.464551804363728,2.680165705680847,2.6989562913775442,720,519,Early stopping due to no improvement (AdaptiveES).,1.0356339401668972,96.49166666666666
39555845,SZ_TAXI/15T,48,1092,1,2400,5e-05,4,0.0,0.0,675.5891749858856,3.464551804363728,2.6690717381238938,2.6847389748692514,480,269,Early stopping due to no improvement (AdaptiveES).,1.407478243112564,99.84375
39555846,SZ_TAXI/15T,48,1092,1,2400,5e-05,4,0.0001,0.0,348.9374408721924,3.464551804363728,2.702524391412735,2.7077930626273155,240,39,Early stopping due to no improvement (AdaptiveES).,1.4539073824882507,99.69583333333334
39555847,SZ_TAXI/15T,48,1092,1,2400,5e-05,4,0.0015,0.0,510.7664349079132,3.464551804363728,2.700365814268589,2.7009794735908508,360,149,Early stopping due to no improvement (AdaptiveES).,1.4187966889805264,99.78611111111111
39555848,SZ_TAXI/15T,48,1092,1,2400,5e-05,8,0.0,0.0,1681.434063911438,3.464551804363728,2.6705907313525676,2.6856793826818466,800,589,Early stopping due to no improvement (AdaptiveES).,2.1017929488420486,99.9275
39555849,SZ_TAXI/15T,48,1092,1,2400,5e-05,8,0.0001,0.0,894.5424106121063,3.464551804363728,2.6656328414380552,2.6732464610040187,420,209,Early stopping due to no improvement (AdaptiveES).,2.129863862764268,99.84285714285714
39555850,SZ_TAXI/15T,48,1092,1,2400,5e-05,8,0.0015,0.0,998.4344789981842,3.464551804363728,2.6682214614748956,2.688155287504196,470,269,Early stopping due to no improvement (AdaptiveES).,2.124329522315492,99.87234042553192
39555851,SZ_TAXI/15T,48,1092,1,2400,5e-05,16,0.0,0.0,1737.3657772541046,3.464551804363728,2.6615689423680307,2.670621396303177,500,299,Early stopping due to no improvement (AdaptiveES).,3.4747323532104493,99.846
39555852,SZ_TAXI/15T,48,1092,1,2400,5e-05,16,0.0001,0.0,878.395708322525,3.464551804363728,2.6812541249394415,2.7072596706449987,250,39,Early stopping due to no improvement (AdaptiveES).,3.513584174156189,99.704
39555853,SZ_TAXI/15T,48,1092,1,2400,5e-05,16,0.0015,0.0,1825.931424856186,3.464551804363728,2.67908789485693,2.6957177686691285,520,309,Early stopping due to no improvement (AdaptiveES).,3.511407468869136,99.88846153846154
39555854,SZ_TAXI/15T,48,1092,1,2400,5e-05,32,0.0,0.0,2412.4369287490845,3.464551804363728,2.6583484287559984,2.6672280468046665,381,229,Early stopping due no time.,6.331856460396073,99.83464566929133
39555855,SZ_TAXI/15T,48,1092,1,2400,5e-05,32,0.0001,0.0,2030.5800728797913,3.464551804363728,2.666923549771309,2.7111487820744515,320,109,Early stopping due to no improvement (AdaptiveES).,6.345564050227404,99.775
39555856,SZ_TAXI/15T,48,1092,1,2400,5e-05,32,0.0015,0.0,2210.753814935684,3.464551804363728,2.6703438974916933,2.6862266878038645,350,149,Early stopping due to no improvement (AdaptiveES).,6.316440534591675,99.79142857142857
39555857,SZ_TAXI/15T,48,1092,1,2400,5e-05,64,0.0,0.0,2408.9149918556213,3.464551804363728,2.6769206911325454,2.6839281313121317,197,49,Early stopping due no time.,12.227995643760952,99.61421319796955
39555858,SZ_TAXI/15T,48,1092,1,2400,5e-05,64,0.0001,0.0,2411.1322226524353,3.464551804363728,2.657780528962612,2.667279019355774,197,139,Early stopping due no time.,12.239251452654146,99.63959390862944
39555859,SZ_TAXI/15T,48,1092,1,2400,5e-05,64,0.0015,0.0,2411.923893928528,3.464551804363728,2.6534654267877342,2.6618382927030324,197,139,Early stopping due no time.,12.24327034030469,99.58375634517766
39555860,SZ_TAXI/15T,48,1092,1,2400,5e-06,2,0.0,0.0,698.4753367900848,3.464551804363728,2.6791010650992395,2.6949515341222288,670,459,Early stopping due to no improvement (AdaptiveES).,1.0425012093871386,96.39402985074626
39555861,SZ_TAXI/15T,48,1092,1,2400,5e-06,2,0.0001,0.0,902.7528860569,3.464551804363728,2.6846545165777207,2.6853477369248866,880,679,Early stopping due to no improvement (AdaptiveES).,1.0258560811931436,96.37840909090909
39555862,SZ_TAXI/15T,48,1092,1,2400,5e-06,2,0.0015,0.0,727.4611887931824,3.464551804363728,2.678296704441309,2.6905911411345005,680,469,Early stopping due to no improvement (AdaptiveES).,1.0697965309900397,96.625
39555863,SZ_TAXI/15T,48,1092,1,2400,5e-06,4,0.0,0.0,1654.9250061511993,3.464551804363728,2.676642620712519,2.6780535450577734,1210,999,Early stopping due to no improvement (AdaptiveES).,1.3677071918140757,99.93553719008264
39555864,SZ_TAXI/15T,48,1092,1,2400,5e-06,4,0.0001,0.0,673.0339708328247,3.464551804363728,2.6898527193069457,2.6904542374610902,480,279,Early stopping due to no improvement (AdaptiveES).,1.4021549671888351,99.83958333333334
39555865,SZ_TAXI/15T,48,1092,1,2400,5e-06,4,0.0015,0.0,1965.20077586174,3.464551804363728,2.6733425976336003,2.6747523018717767,1440,1189,Early stopping due to no improvement (AdaptiveES).,1.3647230451305707,99.94722222222222
39555866,SZ_TAXI/15T,48,1092,1,2400,5e-06,8,0.0,0.0,2419.311132669449,3.464551804363728,2.669654690772295,2.6700801058113575,1150,1099,Early stopping due no time.,2.103749291585839,99.93565217391304
39555867,SZ_TAXI/15T,48,1092,1,2400,5e-06,8,0.0001,0.0,2418.590507030487,3.464551804363728,2.6679318384826183,2.6679376691579817,1150,1139,Early stopping due no time.,2.103122717815897,99.93652173913044
39555868,SZ_TAXI/15T,48,1092,1,2400,5e-06,8,0.0015,0.0,2413.4619019031525,3.464551804363728,2.6607587690651417,2.6607587690651417,1155,1149,Early stopping due no time.,2.089577781792843,99.92900432900433
