PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39550398,SZ_TAXI/H,48,312,1,2400,0.0005,2,0.0,0.0,153.93670392036438,2.6741155230998994,1.6329908353090286,1.9971479403972625,350,149,Early stopping due to no improvement (AdaptiveES).,0.43982022081102645,60.034285714285716
39550399,SZ_TAXI/H,48,312,1,2400,0.0005,2,0.0001,0.0,137.2184386253357,2.6741155230998994,1.636990852355957,1.6915910840034485,300,99,Early stopping due to no improvement (AdaptiveES).,0.45739592949549357,58.32666666666667
39550400,SZ_TAXI/H,48,312,1,2400,0.0005,2,0.0015,0.0,251.80925798416138,2.6741155230998994,1.635683712363243,1.6815773105621339,620,419,Early stopping due to no improvement (AdaptiveES).,0.40614468243814283,60.79032258064516
39550401,SZ_TAXI/H,48,312,1,2400,0.0005,4,0.0,0.0,183.12140011787415,2.6741155230998994,1.6312845182418823,1.690754491686821,400,199,Early stopping due to no improvement (AdaptiveES).,0.4578045070171356,83.2425
39550402,SZ_TAXI/H,48,312,1,2400,0.0005,4,0.0001,0.0,140.94724488258362,2.6741155230998994,1.6356374344229698,1.6406268894672393,280,69,Early stopping due to no improvement (AdaptiveES).,0.5033842393330166,82.0
39550403,SZ_TAXI/H,48,312,1,2400,0.0005,4,0.0015,0.0,119.30935001373291,2.6741155230998994,1.6402587461471558,1.670648757815361,230,29,Early stopping due to no improvement (AdaptiveES).,0.5187378147374029,82.5695652173913
39550404,SZ_TAXI/H,48,312,1,2400,0.0005,8,0.0,0.0,174.01369380950928,2.6741155230998994,1.643966925740242,1.6936174392700196,280,79,Early stopping due to no improvement (AdaptiveES).,0.6214781744139535,90.07142857142857
39550405,SZ_TAXI/H,48,312,1,2400,0.0005,8,0.0001,0.0,159.65311551094055,2.6741155230998994,1.6334056997299193,1.7153344470262528,240,39,Early stopping due to no improvement (AdaptiveES).,0.6652227987845739,90.33333333333333
39550406,SZ_TAXI/H,48,312,1,2400,0.0005,8,0.0015,0.0,179.35203409194946,2.6741155230998994,1.6319848668575287,1.7073450782895088,290,89,Early stopping due to no improvement (AdaptiveES).,0.6184559073941461,89.87586206896552
39550407,SZ_TAXI/H,48,312,1,2400,0.0005,16,0.0,0.0,209.70569825172424,2.6741155230998994,1.6264026907086373,1.7335004329681396,250,49,Early stopping due to no improvement (AdaptiveES).,0.8388241529464722,98.888
39550408,SZ_TAXI/H,48,312,1,2400,0.0005,16,0.0001,0.0,182.9156813621521,2.6741155230998994,1.6411012268066407,1.7718118703365326,210,9,Early stopping due to no improvement (AdaptiveES).,0.8710281406130109,98.76666666666667
39550409,SZ_TAXI/H,48,312,1,2400,0.0005,16,0.0015,0.0,233.44522523880005,2.6741155230998994,1.6356045943498612,1.7893819105625153,280,79,Early stopping due to no improvement (AdaptiveES).,0.833734164919172,98.73214285714286
39550410,SZ_TAXI/H,48,312,1,2400,0.0005,32,0.0,0.0,313.97272849082947,2.6741155230998994,1.6300332021713257,1.8286856776475906,240,39,Early stopping due to no improvement (AdaptiveES).,1.3082211395104726,99.6125
39550411,SZ_TAXI/H,48,312,1,2400,0.0005,32,0.0001,0.0,315.998172044754,2.6741155230998994,1.6406823685765266,1.7906273746490478,240,39,Early stopping due to no improvement (AdaptiveES).,1.3166604419549306,99.55416666666666
39550412,SZ_TAXI/H,48,312,1,2400,0.0005,32,0.0015,0.0,327.2170584201813,2.6741155230998994,1.6445992517471313,1.8284348985552787,250,49,Early stopping due to no improvement (AdaptiveES).,1.3088697357177734,99.636
39550413,SZ_TAXI/H,48,312,1,2400,0.0005,64,0.0,0.0,487.6116256713867,2.6741155230998994,1.6501868534088135,1.87658800303936,220,19,Early stopping due to no improvement (AdaptiveES).,2.2164178696545687,99.55909090909091
39550414,SZ_TAXI/H,48,312,1,2400,0.0005,64,0.0001,0.0,489.1244728565216,2.6741155230998994,1.6413936164975167,1.8433232510089874,220,19,Early stopping due to no improvement (AdaptiveES).,2.223294445601377,99.58181818181818
39550415,SZ_TAXI/H,48,312,1,2400,0.0005,64,0.0015,0.0,507.1155164241791,2.6741155230998994,1.6285691678524017,1.863289119899273,230,29,Early stopping due to no improvement (AdaptiveES).,2.204851615947226,99.60434782608695
39550416,SZ_TAXI/H,48,312,1,2400,5e-05,2,0.0,0.0,161.34756898880005,2.6741155230998994,1.6266660737991332,1.6480079129338265,370,169,Early stopping due to no improvement (AdaptiveES).,0.4360754973179585,58.8027027027027
39550417,SZ_TAXI/H,48,312,1,2400,5e-05,2,0.0001,0.0,137.44188523292542,2.6741155230998994,1.6342601445317269,1.6549135661125183,310,99,Early stopping due to no improvement (AdaptiveES).,0.44336212527367375,59.47096774193548
39550418,SZ_TAXI/H,48,312,1,2400,5e-05,2,0.0015,0.0,140.78248286247253,2.6741155230998994,1.6342055812478065,1.6558367031812669,320,109,Early stopping due to no improvement (AdaptiveES).,0.4399463631212711,59.928125
39550419,SZ_TAXI/H,48,312,1,2400,5e-05,4,0.0,0.0,135.24798035621643,2.6741155230998994,1.641767225265503,1.6772496715188026,270,59,Early stopping due to no improvement (AdaptiveES).,0.5009197464695683,82.76296296296296
39550420,SZ_TAXI/H,48,312,1,2400,5e-05,4,0.0001,0.0,184.07176423072815,2.6741155230998994,1.6462316194176674,1.6867889979481696,390,189,Early stopping due to no improvement (AdaptiveES).,0.4719797996374277,82.7948717948718
39550421,SZ_TAXI/H,48,312,1,2400,5e-05,4,0.0015,0.0,133.342782497406,2.6741155230998994,1.6425056785345078,1.6628057295084,270,59,Early stopping due to no improvement (AdaptiveES).,0.4938634881266841,83.4074074074074
39550422,SZ_TAXI/H,48,312,1,2400,5e-05,8,0.0,0.0,166.00840973854065,2.6741155230998994,1.6434100908041,1.7091812318563462,280,69,Early stopping due to no improvement (AdaptiveES).,0.5928883876119341,90.47857142857143
39550423,SZ_TAXI/H,48,312,1,2400,5e-05,8,0.0001,0.0,167.29913449287415,2.6741155230998994,1.6441699010133743,1.6982611697912215,270,59,Early stopping due to no improvement (AdaptiveES).,0.6196277803844876,90.04444444444445
39550424,SZ_TAXI/H,48,312,1,2400,5e-05,8,0.0015,0.0,165.78801250457764,2.6741155230998994,1.6442460525035858,1.7065161699056626,280,69,Early stopping due to no improvement (AdaptiveES).,0.5921012052467891,90.76785714285714
