PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39612098,bitbrains_rnd/H,48,1920,1,2400,0.0005,2,0.0,0.0,198.24008131027222,331.67318033831873,261.5047067772302,284.53895391681016,260,59,Early stopping due to no improvement (AdaptiveES).,0.7624630671281081,58.01538461538462
39612099,bitbrains_rnd/H,48,1920,1,2400,0.0005,2,0.0001,0.0,295.0578327178955,331.67318033831873,268.53715491537054,298.97613321918993,410,209,Early stopping due to no improvement (AdaptiveES).,0.7196541902495593,56.770731707317076
39612100,bitbrains_rnd/H,48,1920,1,2400,0.0005,2,0.0015,0.0,253.83939361572266,331.67318033831873,271.1442323349556,356.72538631731453,350,149,Early stopping due to no improvement (AdaptiveES).,0.7252563844408307,59.754285714285714
39612101,bitbrains_rnd/H,48,1920,1,2400,0.0005,4,0.0,0.0,228.8207335472107,331.67318033831873,271.0852482942444,313.32705003805603,290,89,Early stopping due to no improvement (AdaptiveES).,0.7890381755500004,81.63448275862069
39612102,bitbrains_rnd/H,48,1920,1,2400,0.0005,4,0.0001,0.0,307.30389642715454,331.67318033831873,253.99261042910697,311.4303347616533,410,209,Early stopping due to no improvement (AdaptiveES).,0.7495226656518331,81.61463414634146
39612103,bitbrains_rnd/H,48,1920,1,2400,0.0005,4,0.0015,0.0,220.06181740760803,331.67318033831873,268.45712859612007,293.41137493834077,270,69,Early stopping due to no improvement (AdaptiveES).,0.8150449655674122,81.4074074074074
39612104,bitbrains_rnd/H,48,1920,1,2400,0.0005,8,0.0,0.0,239.44514632225037,331.67318033831873,265.7728818476094,293.19655395076336,270,69,Early stopping due to no improvement (AdaptiveES).,0.8868351000326651,89.99259259259259
39612105,bitbrains_rnd/H,48,1920,1,2400,0.0005,8,0.0001,0.0,252.3193736076355,331.67318033831873,260.030175801882,320.00165334715973,280,79,Early stopping due to no improvement (AdaptiveES).,0.9011419372899192,90.13571428571429
39612106,bitbrains_rnd/H,48,1920,1,2400,0.0005,8,0.0015,0.0,233.7133231163025,331.67318033831873,270.6606945342747,290.2593690366142,250,49,Early stopping due to no improvement (AdaptiveES).,0.93485471534729,90.044
39612107,bitbrains_rnd/H,48,1920,1,2400,0.0005,16,0.0,0.0,296.1833803653717,331.67318033831873,267.0082086764295,309.4955339929293,250,49,Early stopping due to no improvement (AdaptiveES).,1.184734758377075,98.44
