PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39617390,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,2.0,0.0,0.0,170.67655396461487,171.78780291974545,144.43979400396347,165.7906060218811,270.0,69.0,Early stopping due to no improvement (AdaptiveES).,0.632136301641111,99.81111111111112
39617391,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,272.5361080169678,171.78780291974545,145.1067716255784,202.0502414032817,430.0,229.0,Early stopping due to no improvement (AdaptiveES).,0.633805227279663,99.86976744186046
39617392,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,331.1131372451782,171.78780291974545,146.18285407871008,171.66191597282887,510.0,299.0,Early stopping due to no improvement (AdaptiveES).,0.6492420290030685,99.90392156862745
39617393,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,4.0,0.0,0.0,541.0405540466309,171.78780291974545,141.72072865068913,168.7026902511716,450.0,249.0,Early stopping due to no improvement (AdaptiveES).,1.2023126278983223,99.89111111111112
39617394,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,409.2237982749939,171.78780291974545,145.36769126355648,186.31894585490227,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,1.2036001941737007,99.84705882352941
39617395,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,444.96777606010437,171.78780291974545,144.83660507202148,155.68934872746468,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,1.202615923494906,99.81891891891892
39617396,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,8.0,0.0,0.0,538.5823674201965,171.78780291974545,139.12677097320557,217.29271838068962,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,2.3416629003441853,99.77826086956522
39617397,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,514.5804696083069,171.78780291974545,140.7353027611971,228.41525430977345,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.339002538811077,99.74545454545455
39617398,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,561.573235988617,171.78780291974545,140.6893426552415,166.7750764861703,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,2.3398895104726156,99.74583333333334
39617399,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1072.3230469226837,171.78780291974545,140.0248195976019,146.11444606631994,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,4.662274532732757,99.7695652173913
39617400,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1165.9000267982483,171.78780291974545,142.66839952766895,170.33261604607105,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,4.663600511550904,99.8
39617401,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1071.9688186645508,171.78780291974545,141.33180322498083,217.14165525138378,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,4.660734411944514,99.69130434782609
39617402,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,32.0,0.0,0.0,2398.685214281082,171.78780291974545,136.46031910926104,173.3459356278181,257.0,59.0,Early stopping due no time.,9.333406585663672,99.78988326848248
39617403,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,2239.000813961029,171.78780291974545,138.9374816864729,158.286434777081,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,9.329170458515485,99.7625
39617404,bizitobs_application,60.0,30.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,2331.782272338867,171.78780291974545,140.0264166817069,237.2027819007635,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,9.327129467010497,99.772
39617405,,,,,,,,,,,,,,,,,,
39617406,,,,,,,,,,,,,,,,,,
39617407,,,,,,,,,,,,,,,,,,
39617408,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,2.0,0.0,0.0,158.85392045974731,171.78780291974545,148.58199249953032,148.86657619476318,250.0,39.0,Early stopping due to no improvement (AdaptiveES).,0.6354167356491088,99.816
39617409,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,184.16072988510132,171.78780291974545,146.69708839803934,150.4794853180647,290.0,79.0,Early stopping due to no improvement (AdaptiveES).,0.6350373777849921,99.78620689655172
39617410,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,323.1665060520172,171.78780291974545,144.70277719199657,160.05314031988382,510.0,299.0,Early stopping due to no improvement (AdaptiveES).,0.6336603683583877,99.89803921568627
39617411,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,4.0,0.0,0.0,277.15848326683044,171.78780291974545,163.43565311282873,209.1195672377944,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,1.2050373139588728,99.8
39617412,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,469.96333289146423,171.78780291974545,151.28085447847843,184.85685408860445,390.0,179.0,Early stopping due to no improvement (AdaptiveES).,1.2050349039909167,99.85897435897436
39617413,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,265.08819580078125,171.78780291974545,165.52651055902243,215.4071133956313,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,1.2049467422745443,99.75
39617414,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,8.0,0.0,0.0,491.6293864250183,171.78780291974545,171.78780291974545,211.59662042558193,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.3410934561774845,99.73333333333333
39617415,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,492.16211581230164,171.78780291974545,171.78780291974545,232.16155226528645,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.343629619053432,99.72380952380952
39617416,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,491.85663890838623,171.78780291974545,171.78780291974545,199.3578471839428,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.342175644919986,99.72380952380952
39617417,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,16.0,0.0,0.0,981.1614644527435,171.78780291974545,171.78780291974545,279.59648977965117,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.6721980151675995,99.65238095238095
39617418,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,980.8375155925751,171.78780291974545,171.78780291974545,225.40817788243294,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.670656069119771,99.75238095238095
39617419,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,979.9426367282867,171.78780291974545,171.78780291974545,234.48442808538675,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.666394702593485,99.76190476190476
39617420,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,32.0,0.0,0.0,1961.983463525772,171.78780291974545,171.78780291974545,279.19223775714636,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,9.342778839383806,99.76666666666667
39617421,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,32.0,0.0001,0.0,1963.3190369606018,171.78780291974545,171.78780291974545,308.3445635139942,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,9.34913869131179,99.71904761904761
39617422,bizitobs_application,60.0,30.0,1.0,2400.0,5e-05,32.0,0.0015,0.0,1961.5531249046326,171.78780291974545,171.78780291974545,336.0432752966881,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,9.340729638508387,99.74285714285715
39617423,,,,,,,,,,,,,,,,,,
39617424,,,,,,,,,,,,,,,,,,
39617425,,,,,,,,,,,,,,,,,,
