PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39617335,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,2.0,0.0,0.0,329.33545565605164,11.092221944311556,8.984535562498163,10.368658915755251,300.0,99.0,Early stopping due to no improvement (AdaptiveES).,1.0977859989802043,99.78666666666666
39617336,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,340.93258261680603,11.092221944311556,8.96463770907472,9.570668300511205,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,1.0997836389849263,99.84193548387097
39617337,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,340.9083273410797,11.092221944311556,8.994488381628235,9.924943400957133,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,1.0997054807601436,99.83225806451613
39617338,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,4.0,0.0,0.0,894.141839504242,11.092221944311556,8.709007906339442,9.232810337393035,540.0,339.0,Early stopping due to no improvement (AdaptiveES).,1.6558190023457562,99.90555555555555
39617339,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,534.4106786251068,11.092221944311556,8.796921494766138,9.549691966271936,320.0,119.0,Early stopping due to no improvement (AdaptiveES).,1.6700344935059548,99.8375
39617340,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,419.52325320243835,11.092221944311556,9.072278631790098,9.23313747398511,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.678094307899475,99.684
39617341,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,8.0,0.0,0.0,1230.8418083190918,11.092221944311556,8.47699478039119,10.435929473872031,440.0,239.0,Early stopping due to no improvement (AdaptiveES).,2.797368185086684,99.83181818181818
39617342,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,1064.3301572799683,11.092221944311556,8.643044458533128,11.0146423116634,380.0,179.0,Early stopping due to no improvement (AdaptiveES).,2.8008697729361685,99.86315789473684
39617343,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,1643.2194306850433,11.092221944311556,8.17990475054276,8.932988035298573,590.0,389.0,Early stopping due to no improvement (AdaptiveES).,2.785118383876348,99.91694915254237
39617344,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1794.994307756424,11.092221944311556,8.838627154065762,10.99574780684807,350.0,149.0,Early stopping due to no improvement (AdaptiveES).,5.128556133678981,99.79714285714286
39617345,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1641.7861576080322,11.092221944311556,8.740287699448388,9.796637253109587,320.0,119.0,Early stopping due to no improvement (AdaptiveES).,5.130582828074694,99.75
39617346,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1489.5611152648926,11.092221944311556,8.392043263288326,11.388948803745388,290.0,89.0,Early stopping due to no improvement (AdaptiveES).,5.136418825182422,99.82068965517242
39617347,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,32.0,0.0,0.0,2406.39905667305,11.092221944311556,9.41643911321825,13.252574694963792,246.0,59.0,Early stopping due no time.,9.782111423771555,99.6260162601626
39617348,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,2398.6992774009705,11.092221944311556,9.197274599019217,10.22778361720737,245.0,79.0,Early stopping due no time.,9.790610654986635,99.73061224489796
39617349,bizitobs_service,60.0,630.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,2398.8350636959076,11.092221944311556,9.056094890162404,10.381091685570677,245.0,69.0,Early stopping due no time.,9.791164924660508,99.7795918367347
39617350,,,,,,,,,,,,,,,,,,
39617351,,,,,,,,,,,,,,,,,,
39617352,,,,,,,,,,,,,,,,,,
39617353,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,2.0,0.0,0.0,283.78663539886475,11.092221944311556,9.335118309303652,10.353754904146106,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.0914882384813749,99.76923076923077
39617354,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,286.11515498161316,11.092221944311556,9.270499561618115,11.258090854112414,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.1004441297971286,99.75
39617355,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,284.88604283332825,11.092221944311556,9.329845168680462,11.118651589086983,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.095716706606058,99.76538461538462
39617356,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,4.0,0.0,0.0,567.3621394634247,11.092221944311556,9.791109936620723,10.618832327699888,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,1.6687132316477158,99.85588235294118
39617357,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,567.6809375286102,11.092221944311556,9.261681698370792,10.340111713978418,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,1.6696507481967702,99.7764705882353
39617358,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,567.404349565506,11.092221944311556,9.85929603609648,10.685868636569163,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,1.6688372983652002,99.74705882352941
39617359,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,8.0,0.0,0.0,1681.1678693294525,11.092221944311556,8.884944912089157,8.99325264399522,600.0,399.0,Early stopping due to no improvement (AdaptiveES).,2.8019471363226574,99.91833333333334
39617360,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,2183.070101261139,11.092221944311556,8.392937158813723,8.50139628198979,780.0,579.0,Early stopping due to no improvement (AdaptiveES).,2.798808207573035,99.88333333333334
39617361,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,2126.4933457374573,11.092221944311556,8.201196664838964,8.426670591780706,760.0,559.0,Early stopping due to no improvement (AdaptiveES).,2.798017883300781,99.92894736842105
39617362,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,16.0,0.0,0.0,2403.258680343628,11.092221944311556,8.373337640596132,8.373337640596132,469.0,459.0,Early stopping due no time.,5.124219763761898,99.84648187633262
39617363,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,1491.2302865982056,11.092221944311556,8.752357078105325,8.797803546094135,290.0,89.0,Early stopping due to no improvement (AdaptiveES).,5.142174584290077,99.67241379310344
39617364,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,1592.5056927204132,11.092221944311556,8.857653858615473,9.228232044152849,310.0,99.0,Early stopping due to no improvement (AdaptiveES).,5.137115605415836,99.71290322580646
39617365,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,32.0,0.0,0.0,2400.0319509506226,11.092221944311556,9.150881817490916,9.193570847045132,244.0,169.0,Early stopping due no time.,9.83619796545779,99.63934426229508
39617366,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,32.0,0.0001,0.0,2400.632737636566,11.092221944311556,9.016312325926265,9.016312325926265,244.0,239.0,Early stopping due no time.,9.838659238619883,99.78688524590164
39617367,bizitobs_service,60.0,630.0,1.0,2400.0,5e-05,32.0,0.0015,0.0,2400.1672129631042,11.092221944311556,9.732112117478945,9.732112117478945,244.0,239.0,Early stopping due no time.,9.836752388320985,99.77868852459017
39617368,,,,,,,,,,,,,,,,,,
39617369,,,,,,,,,,,,,,,,,,
39617370,,,,,,,,,,,,,,,,,,
39617371,bizitobs_service,60.0,630.0,1.0,2400.0,5e-06,2.0,0.0,0.0,234.98588013648987,11.092221944311556,11.092221944311556,12.462755959016725,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.1189818132491338,99.68571428571428
39617372,bizitobs_service,60.0,630.0,1.0,2400.0,5e-06,2.0,0.0001,0.0,235.15543746948242,11.092221944311556,11.092221944311556,12.505063859295444,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.1197884389332362,99.73333333333333
39617373,bizitobs_service,60.0,630.0,1.0,2400.0,5e-06,2.0,0.0015,0.0,235.26861453056335,11.092221944311556,11.092221944311556,12.412913152122027,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.120327275139945,99.64761904761905
39617374,bizitobs_service,60.0,630.0,1.0,2400.0,5e-06,4.0,0.0,0.0,358.85904717445374,11.092221944311556,11.092221944311556,12.066880090090091,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.708854097411746,99.75238095238095
