PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39548875,covid_deaths,30,266,1,2400,0.0005,2,0.0,0.0,145.22216391563416,178.22310826220084,92.37957021850045,356.2472507727437,340,139,Early stopping due to no improvement (AdaptiveES).,0.4271251468097462,21.258823529411764
39548876,covid_deaths,30,266,1,2400,0.0005,2,0.0001,0.0,98.30689263343811,178.22310826220084,178.22310826220084,789.6875620366424,210,0,Early stopping due to no improvement (AdaptiveES).,0.4681295008886428,21.333333333333332
39548877,covid_deaths,30,266,1,2400,0.0005,2,0.0015,0.0,286.32663345336914,178.22310826220084,80.8615357645508,336.58053970568,660,459,Early stopping due to no improvement (AdaptiveES).,0.4338288888786778,20.553030303030305
39548878,covid_deaths,30,266,1,2400,0.0005,4,0.0,0.0,137.17662167549133,178.22310826220084,118.05124081090092,407.8241305622645,310,109,Early stopping due to no improvement (AdaptiveES).,0.44250631178579025,32.674193548387095
39548879,covid_deaths,30,266,1,2400,0.0005,4,0.0001,0.0,101.26995277404785,178.22310826220084,178.22310826220084,271.97125254685056,210,0,Early stopping due to no improvement (AdaptiveES).,0.4822392588570004,32.180952380952384
39548880,covid_deaths,30,266,1,2400,0.0005,4,0.0015,0.0,167.98105311393738,178.22310826220084,100.92811307765078,253.1670502903359,400,199,Early stopping due to no improvement (AdaptiveES).,0.41995353639125826,33.1575
39548881,covid_deaths,30,266,1,2400,0.0005,8,0.0,0.0,127.15764927864075,178.22310826220084,87.56144332787197,327.4799371626647,290,89,Early stopping due to no improvement (AdaptiveES).,0.43847578229575324,57.648275862068964
39548882,covid_deaths,30,266,1,2400,0.0005,8,0.0001,0.0,130.86953687667847,178.22310826220084,115.89406484323554,440.7705710294191,290,79,Early stopping due to no improvement (AdaptiveES).,0.45127478796860265,55.62413793103448
39548883,covid_deaths,30,266,1,2400,0.0005,8,0.0015,0.0,158.53015565872192,178.22310826220084,107.77922801784007,290.6898165264528,360,159,Early stopping due to no improvement (AdaptiveES).,0.44036257863044737,55.94444444444444
39548884,covid_deaths,30,266,1,2400,0.0005,16,0.0,0.0,274.7069835662842,178.22310826220084,57.507172083613405,109.58297143010364,600,399,Early stopping due to no improvement (AdaptiveES).,0.45784568111101787,78.67666666666666
39548885,covid_deaths,30,266,1,2400,0.0005,16,0.0001,0.0,346.7764039039612,178.22310826220084,110.30347802870354,116.6433111307834,780,579,Early stopping due to no improvement (AdaptiveES).,0.4445854297051063,78.97948717948718
39548886,covid_deaths,30,266,1,2400,0.0005,16,0.0015,0.0,240.56204342842102,178.22310826220084,76.371382334269,97.35089550387697,530,329,Early stopping due to no improvement (AdaptiveES).,0.4538914617502464,78.86037735849057
39548887,covid_deaths,30,266,1,2400,0.0005,32,0.0,0.0,245.34567523002625,178.22310826220084,43.49317939567496,66.03486766277929,410,209,Early stopping due to no improvement (AdaptiveES).,0.5984050140148256,86.81219512195122
39548888,covid_deaths,30,266,1,2400,0.0005,32,0.0001,0.0,197.94232153892517,178.22310826220084,86.47874549419502,439.10288178479766,320,109,Early stopping due to no improvement (AdaptiveES).,0.6185708165168762,86.6875
39548889,covid_deaths,30,266,1,2400,0.0005,32,0.0015,0.0,267.2526683807373,178.22310826220084,82.87306101783528,170.57747035806534,450,239,Early stopping due to no improvement (AdaptiveES).,0.5938956848780315,86.79777777777778
