PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39588917,electricity/D,30,1845,1,2400,0.0005,2,0.0,0.0,139.22120141983032,8143.328412017822,5788.402470970153,14505.070991363526,250,49,Early stopping due to no improvement (AdaptiveES).,0.556886103630066,88.016
39588918,electricity/D,30,1845,1,2400,0.0005,2,0.0001,0.0,154.23372745513916,8143.328412017822,5322.877612686158,7269.908163070679,280,79,Early stopping due to no improvement (AdaptiveES).,0.5508359806878226,87.52857142857142
39588919,electricity/D,30,1845,1,2400,0.0005,2,0.0015,0.0,243.57152843475342,8143.328412017822,5109.517535324097,6199.200262641907,470,269,Early stopping due to no improvement (AdaptiveES).,0.5182379225467114,87.5
39588920,electricity/D,30,1845,1,2400,0.0005,4,0.0,0.0,179.33837294578552,8143.328412017822,5145.566091117859,5984.90346031189,260,59,Early stopping due to no improvement (AdaptiveES).,0.6897643722020663,93.65384615384616
39588921,electricity/D,30,1845,1,2400,0.0005,4,0.0001,0.0,197.32110905647278,8143.328412017822,5408.460853691101,6550.162878456115,290,89,Early stopping due to no improvement (AdaptiveES).,0.680418926271899,93.78965517241379
39588922,electricity/D,30,1845,1,2400,0.0005,4,0.0015,0.0,525.2228853702545,8143.328412017822,4897.876055870056,5404.054218788147,820,619,Early stopping due to no improvement (AdaptiveES).,0.640516314855436,93.94024390243902
39588923,electricity/D,30,1845,1,2400,0.0005,8,0.0,0.0,286.212931394577,8143.328412017822,5139.643450317383,5704.976620750427,290,89,Early stopping due to no improvement (AdaptiveES).,0.9869423973149267,99.72413793103448
39588924,electricity/D,30,1845,1,2400,0.0005,8,0.0001,0.0,286.24064803123474,8143.328412017822,4979.734188117981,5507.4751329422,290,89,Early stopping due to no improvement (AdaptiveES).,0.9870379760347564,99.7
39588925,electricity/D,30,1845,1,2400,0.0005,8,0.0015,0.0,285.8893871307373,8143.328412017822,5051.108904800415,5898.244928016663,290,89,Early stopping due to no improvement (AdaptiveES).,0.9858267907438607,99.71724137931035
39588926,electricity/D,30,1845,1,2400,0.0005,16,0.0,0.0,379.8603467941284,8143.328412017822,5034.186928405762,6711.857883987427,240,39,Early stopping due to no improvement (AdaptiveES).,1.5827528278032938,99.63333333333334
39588927,electricity/D,30,1845,1,2400,0.0005,16,0.0001,0.0,411.6308693885803,8143.328412017822,4938.7988153457645,5081.699538230896,250,49,Early stopping due to no improvement (AdaptiveES).,1.6465249919891358,99.644
39588928,electricity/D,30,1845,1,2400,0.0005,16,0.0015,0.0,603.993402004242,8143.328412017822,4972.131463432312,5980.289873466491,390,189,Early stopping due to no improvement (AdaptiveES).,1.5487014856093968,99.74615384615385
39588929,electricity/D,30,1845,1,2400,0.0005,32,0.0,0.0,803.1238179206848,8143.328412017822,5081.031845321655,6633.213469696045,300,99,Early stopping due to no improvement (AdaptiveES).,2.6770806614557903,99.72333333333333
39588930,electricity/D,30,1845,1,2400,0.0005,32,0.0001,0.0,642.2080252170563,8143.328412017822,5132.938801689148,7180.761029396057,230,29,Early stopping due to no improvement (AdaptiveES).,2.7922102596448815,99.62173913043478
39588931,electricity/D,30,1845,1,2400,0.0005,32,0.0015,0.0,620.5207188129425,8143.328412017822,5237.1073881530765,6656.606682891846,230,29,Early stopping due to no improvement (AdaptiveES).,2.6979176293248717,99.63478260869566
39588932,electricity/D,30,1845,1,2400,0.0005,64,0.0,0.0,1070.8645691871643,8143.328412017822,5185.5692722320555,6147.7914707565305,210,9,Early stopping due to no improvement (AdaptiveES).,5.099356672877357,99.62380952380953
39588933,electricity/D,30,1845,1,2400,0.0005,64,0.0001,0.0,1070.7871587276459,8143.328412017822,5182.794666748046,6829.036748199463,210,9,Early stopping due to no improvement (AdaptiveES).,5.098987900643122,99.58095238095238
39588934,electricity/D,30,1845,1,2400,0.0005,64,0.0015,0.0,1221.6187658309937,8143.328412017822,5179.336174736023,7706.972382125855,240,39,Early stopping due to no improvement (AdaptiveES).,5.090079454580943,99.61666666666666
39588935,electricity/D,30,1845,1,2400,5e-05,2,0.0,0.0,249.04539585113525,8143.328412017822,5060.585775680542,5765.393239707947,500,289,Early stopping due to no improvement (AdaptiveES).,0.49809156608581545,87.614
39588936,electricity/D,30,1845,1,2400,5e-05,2,0.0001,0.0,254.15698957443237,8143.328412017822,4962.585284500122,5761.404520549774,500,289,Early stopping due to no improvement (AdaptiveES).,0.5083147945404053,87.588
39588937,electricity/D,30,1845,1,2400,5e-05,2,0.0015,0.0,355.01835322380066,8143.328412017822,4663.780242843628,5018.637462043762,720,519,Early stopping due to no improvement (AdaptiveES).,0.49308169815275404,88.11111111111111
39588938,electricity/D,30,1845,1,2400,5e-05,4,0.0,0.0,259.65163588523865,8143.328412017822,5140.984066200256,5341.430488014221,390,179,Early stopping due to no improvement (AdaptiveES).,0.6657743894136869,93.99230769230769
39588939,electricity/D,30,1845,1,2400,5e-05,4,0.0001,0.0,349.8606204986572,8143.328412017822,5151.9913743591305,5237.0998832702635,540,339,Early stopping due to no improvement (AdaptiveES).,0.6478907633710791,93.82592592592593
39588940,electricity/D,30,1845,1,2400,5e-05,4,0.0015,0.0,266.5032196044922,8143.328412017822,5238.690826988221,5568.439768981933,400,189,Early stopping due to no improvement (AdaptiveES).,0.6662589758634567,93.655
39588941,electricity/D,30,1845,1,2400,5e-05,8,0.0,0.0,699.2133843898773,8143.328412017822,5924.9923157882695,6501.3872681427,750,549,Early stopping due to no improvement (AdaptiveES).,0.9322851498921713,99.884
39588942,electricity/D,30,1845,1,2400,5e-05,8,0.0001,0.0,500.69150733947754,8143.328412017822,6290.3837746047975,6701.3710974502565,530,329,Early stopping due to no improvement (AdaptiveES).,0.9447017071382054,99.8433962264151
39588943,electricity/D,30,1845,1,2400,5e-05,8,0.0015,0.0,551.6140875816345,8143.328412017822,6097.69593914032,6447.997885971069,590,389,Early stopping due to no improvement (AdaptiveES).,0.9349398782697774,99.86101694915254
39588944,electricity/D,30,1845,1,2400,5e-05,16,0.0,0.0,630.7623553276062,8143.328412017822,6158.3991747283935,6405.707227478028,410,209,Early stopping due to no improvement (AdaptiveES).,1.538445307568806,99.78292682926829
39588945,electricity/D,30,1845,1,2400,5e-05,16,0.0001,0.0,555.8505816459656,8143.328412017822,5914.113119430542,6451.868427810669,360,159,Early stopping due to no improvement (AdaptiveES).,1.5440304789278243,99.78055555555555
39588946,electricity/D,30,1845,1,2400,5e-05,16,0.0015,0.0,410.05961990356445,8143.328412017822,5317.865716018677,5655.920875892639,260,59,Early stopping due to no improvement (AdaptiveES).,1.5771536524479206,99.6923076923077
39588947,electricity/D,30,1845,1,2400,5e-05,32,0.0,0.0,802.6338043212891,8143.328412017822,5749.090413017273,6260.99111164093,300,99,Early stopping due to no improvement (AdaptiveES).,2.6754473733901976,99.72666666666667
39588948,electricity/D,30,1845,1,2400,5e-05,32,0.0001,0.0,829.2822887897491,8143.328412017822,5841.577975616455,6618.6572596740725,310,109,Early stopping due to no improvement (AdaptiveES).,2.6751055125267276,99.73548387096774
39588949,electricity/D,30,1845,1,2400,5e-05,32,0.0015,0.0,802.4215145111084,8143.328412017822,5817.863128929138,6357.178409500122,300,99,Early stopping due to no improvement (AdaptiveES).,2.6747396405537924,99.69333333333333
39588950,electricity/D,30,1845,1,2400,5e-05,64,0.0,0.0,1271.8876130580902,8143.328412017822,5771.864234466553,6792.116250076294,250,39,Early stopping due to no improvement (AdaptiveES).,5.087551861763001,99.648
39588951,electricity/D,30,1845,1,2400,5e-05,64,0.0001,0.0,1422.569004058838,8143.328412017822,6218.690442657471,6443.059898071289,280,79,Early stopping due to no improvement (AdaptiveES).,5.0806048291070125,99.70714285714286
39588952,electricity/D,30,1845,1,2400,5e-05,64,0.0015,0.0,2124.17386841774,8143.328412017822,6138.454674682617,6391.258579711914,420,219,Early stopping due to no improvement (AdaptiveES).,5.057557842277345,99.80714285714286
39588953,electricity/D,30,1845,1,2400,5e-06,2,0.0,0.0,383.9200527667999,8143.328412017822,6103.828305740357,6178.391630630493,790,579,Early stopping due to no improvement (AdaptiveES).,0.4859754124774209,87.70886075949367
39588954,electricity/D,30,1845,1,2400,5e-06,2,0.0001,0.0,366.624773979187,8143.328412017822,6242.125897598266,6367.073037567138,750,549,Early stopping due to no improvement (AdaptiveES).,0.48883363087972004,87.116
39588955,electricity/D,30,1845,1,2400,5e-06,2,0.0015,0.0,376.94825530052185,8143.328412017822,6141.6684561920165,6294.182534866333,770,569,Early stopping due to no improvement (AdaptiveES).,0.4895438020879572,87.63896103896104
39588956,electricity/D,30,1845,1,2400,5e-06,4,0.0,0.0,663.7834479808807,8143.328412017822,6056.35973575592,6358.844493904114,1040,839,Early stopping due to no improvement (AdaptiveES).,0.6382537967883624,93.60480769230769
