PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39588850,electricity/W,8,1107,1,2400,0.0005,2,0.0,0.0,244.0672469139099,37909.609987182615,28123.15995300293,47321.89336364746,610,409,Early stopping due to no improvement (AdaptiveES).,0.40011099674662604,21.414754098360657
39588851,electricity/W,8,1107,1,2400,0.0005,2,0.0001,0.0,113.33116436004639,37909.609987182615,30799.1926763916,51816.4353302002,250,49,Early stopping due to no improvement (AdaptiveES).,0.45332529926300047,21.452
39588852,electricity/W,8,1107,1,2400,0.0005,2,0.0015,0.0,119.51055908203125,37909.609987182615,23137.63367614746,27491.740564575197,280,69,Early stopping due to no improvement (AdaptiveES).,0.4268245995044708,21.90357142857143
39588853,electricity/W,8,1107,1,2400,0.0005,4,0.0,0.0,375.89373803138733,37909.609987182615,28192.33809448242,28949.27023864746,940,739,Early stopping due to no improvement (AdaptiveES).,0.39988747759068266,34.20106382978724
39588854,electricity/W,8,1107,1,2400,0.0005,4,0.0001,0.0,127.35527873039246,37909.609987182615,31142.994539794923,39682.5649822998,290,89,Early stopping due to no improvement (AdaptiveES).,0.4391572672745277,35.02413793103448
39588855,electricity/W,8,1107,1,2400,0.0005,4,0.0015,0.0,137.66034960746765,37909.609987182615,26910.893473510743,28086.264653930662,310,109,Early stopping due to no improvement (AdaptiveES).,0.4440667037040957,34.693548387096776
39588856,electricity/W,8,1107,1,2400,0.0005,8,0.0,0.0,112.17106556892395,37909.609987182615,30321.23554016113,37174.76797668457,240,39,Early stopping due to no improvement (AdaptiveES).,0.467380698521932,58.6375
39588857,electricity/W,8,1107,1,2400,0.0005,8,0.0001,0.0,105.93437099456787,37909.609987182615,30869.242232055665,43501.13039367676,220,19,Early stopping due to no improvement (AdaptiveES).,0.48152132359418004,56.92727272727273
39588858,electricity/W,8,1107,1,2400,0.0005,8,0.0015,0.0,108.97038722038269,37909.609987182615,31390.25026184082,32691.83707458496,230,29,Early stopping due to no improvement (AdaptiveES).,0.4737849173338517,58.37826086956522
39588859,electricity/W,8,1107,1,2400,0.0005,16,0.0,0.0,417.96539759635925,37909.609987182615,28832.668462524412,31041.42600402832,960,759,Early stopping due to no improvement (AdaptiveES).,0.43538112193346024,81.06145833333333
