PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39606728,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,2.0,0.0,0.0,385.1411700248718,1.6503217475754874,1.3181367090770177,1.569857018334525,560.0,359.0,Early stopping due to no improvement (AdaptiveES).,0.6877527156046459,99.90357142857142
39606729,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,278.75182461738586,1.6503217475754874,1.2443871668406896,1.8266532804284776,410.0,209.0,Early stopping due to no improvement (AdaptiveES).,0.6798832794515098,99.85609756097561
39606730,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,197.5776834487915,1.6503217475754874,1.372264061655317,1.5377270494188582,290.0,89.0,Early stopping due to no improvement (AdaptiveES).,0.681303413983049,99.82068965517242
39606731,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,4.0,0.0,0.0,443.9831988811493,1.6503217475754874,1.2581999940531594,1.436208269425801,360.0,149.0,Early stopping due to no improvement (AdaptiveES).,1.2332876178953383,99.86666666666666
39606732,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,353.62011671066284,1.6503217475754874,1.3261994506631578,1.657245716878346,280.0,69.0,Early stopping due to no improvement (AdaptiveES).,1.2629301530974253,99.85714285714286
39606733,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,370.7511336803436,1.6503217475754874,1.3684727251529694,2.2732182315417697,300.0,89.0,Early stopping due to no improvement (AdaptiveES).,1.2358381819725037,99.79666666666667
39606734,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,8.0,0.0,0.0,587.9975936412811,1.6503217475754874,1.4025199328150069,1.8386949683938707,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,2.3519917097091674,99.764
39606735,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,494.07002305984497,1.6503217475754874,1.4521295981747764,1.9511216751166753,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,2.352715866906302,99.71428571428571
39606736,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,490.42936301231384,1.6503217475754874,1.4512308835983276,3.0108629635402133,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,2.3353793848128546,99.77619047619048
39606737,ett2/15T,48.0,140.0,1.0,2400.0,0.0005,16.0,0.0,0.0,973.6442787647247,1.6503217475754874,1.6503217475754874,1.8423724940844945,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.636402737526667,99.77142857142857
