PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39606784,ett2/D,30,21,1,2400,0.0005,2,0.0,0.0,44.28905773162842,377.18797520228793,210.57274763924735,291.70702525547574,320,119,Early stopping due to no improvement (AdaptiveES).,0.138403732329607,62.921875
39606785,ett2/D,30,21,1,2400,0.0005,2,0.0001,0.0,39.65943884849548,377.18797520228793,226.97376414707728,319.4275785173689,280,69,Early stopping due to no improvement (AdaptiveES).,0.14164135881832668,62.18214285714286
39606786,ett2/D,30,21,1,2400,0.0005,2,0.0015,0.0,50.806052684783936,377.18797520228793,223.7721939086914,267.2883758544922,370,169,Early stopping due to no improvement (AdaptiveES).,0.13731413596385234,63.36486486486486
39606787,ett2/D,30,21,1,2400,0.0005,4,0.0,0.0,48.17792105674744,377.18797520228793,222.287079674857,286.5838939121791,260,59,Early stopping due to no improvement (AdaptiveES).,0.18530020255308885,83.11923076923077
39606788,ett2/D,30,21,1,2400,0.0005,4,0.0001,0.0,63.712443590164185,377.18797520228793,212.86071504865373,262.78964860098705,320,119,Early stopping due to no improvement (AdaptiveES).,0.1991017460823059,83.725
39606789,ett2/D,30,21,1,2400,0.0005,4,0.0015,0.0,45.95965027809143,377.18797520228793,245.94628524780273,389.7140671866281,250,49,Early stopping due to no improvement (AdaptiveES).,0.18383919334411622,83.42
39606790,ett2/D,30,21,1,2400,0.0005,8,0.0,0.0,68.19430637359619,377.18797520228793,283.96487263270785,312.32272447858537,220,19,Early stopping due to no improvement (AdaptiveES).,0.30997455228458753,90.09545454545454
39606791,ett2/D,30,21,1,2400,0.0005,8,0.0001,0.0,93.11350536346436,377.18797520228793,283.30240985325406,375.06167221069336,270,59,Early stopping due to no improvement (AdaptiveES).,0.3448653742119118,90.82592592592593
39606792,ett2/D,30,21,1,2400,0.0005,8,0.0015,0.0,68.15649199485779,377.18797520228793,283.9595723833357,346.3972543988909,220,19,Early stopping due to no improvement (AdaptiveES).,0.3098026915030046,90.8409090909091
39606793,ett2/D,30,21,1,2400,0.0005,16,0.0,0.0,148.60185885429382,377.18797520228793,251.55835451398576,330.73035103934154,270,69,Early stopping due to no improvement (AdaptiveES).,0.5503784674185294,99.23333333333333
39606794,ett2/D,30,21,1,2400,0.0005,16,0.0001,0.0,144.77797555923462,377.18797520228793,226.19474846976144,336.7067789350237,250,49,Early stopping due to no improvement (AdaptiveES).,0.5791123561859131,99.268
39606795,ett2/D,30,21,1,2400,0.0005,16,0.0015,0.0,132.12650847434998,377.18797520228793,241.15020724705286,341.8977519444057,240,39,Early stopping due to no improvement (AdaptiveES).,0.5505284627278646,99.225
