PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39611027,ett2/H,48.0,140.0,1.0,2400.0,0.0005,2.0,0.0,0.0,252.53191471099854,8.6447331735066,7.450720225061689,8.385265231132507,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,0.6825196156630645,99.88648648648649
39611028,ett2/H,48.0,140.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,264.62212467193604,8.6447331735066,7.148854153496878,7.498245682035174,370.0,159.0,Early stopping due to no improvement (AdaptiveES).,0.7151953097936269,99.84864864864865
39611029,ett2/H,48.0,140.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,231.58164477348328,8.6447331735066,8.122665643692017,9.537015625408717,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,0.6811234810773064,99.85
39611030,ett2/H,48.0,140.0,1.0,2400.0,0.0005,4.0,0.0,0.0,567.0559554100037,8.6447331735066,6.929416026387896,7.361447657857623,460.0,259.0,Early stopping due to no improvement (AdaptiveES).,1.2327311640200407,99.87826086956522
39611031,ett2/H,48.0,140.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,699.1717202663422,8.6447331735066,7.2439495495387485,7.807027867862156,560.0,349.0,Early stopping due to no improvement (AdaptiveES).,1.248521585549627,99.925
39611032,ett2/H,48.0,140.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,272.0406837463379,8.6447331735066,7.4225776706423074,10.186751672199794,220.0,9.0,Early stopping due to no improvement (AdaptiveES).,1.2365499810738998,99.78636363636363
39611033,ett2/H,48.0,140.0,1.0,2400.0,0.0005,8.0,0.0,0.0,658.1881239414215,8.6447331735066,6.3857351541519165,7.2575642211096625,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,2.350673055648804,99.85714285714286
39611034,ett2/H,48.0,140.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,1010.8613939285278,8.6447331735066,7.207957489149911,8.006431766918727,430.0,229.0,Early stopping due to no improvement (AdaptiveES).,2.350841283243756,99.87441860465117
39611035,ett2/H,48.0,140.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,1668.976547718048,8.6447331735066,6.447018027305603,7.218883395195007,710.0,509.0,Early stopping due to no improvement (AdaptiveES).,2.3506717994179525,99.92535211267605
39611036,ett2/H,48.0,140.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1204.3686916828156,8.6447331735066,7.165809341839382,7.401644502367292,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,4.632188472381005,99.8076923076923
39611037,ett2/H,48.0,140.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1064.857792854309,8.6447331735066,6.954374057906015,8.53664699622563,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,4.62981782477835,99.82608695652173
39611038,ett2/H,48.0,140.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1205.1221373081207,8.6447331735066,7.094908697264535,7.30236862386976,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,4.63508637043146,99.81153846153846
39611039,ett2/H,48.0,140.0,1.0,2400.0,0.0005,32.0,0.0,0.0,2205.7433755397797,8.6447331735066,7.019688844680786,9.158235311508179,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,9.190598737200101,99.8
39611040,ett2/H,48.0,140.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,2205.6224875450134,8.6447331735066,7.325360519545419,7.722239443234035,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,9.190094954768817,99.77916666666667
39611041,ett2/H,48.0,140.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,2299.4705097675323,8.6447331735066,6.734400578907558,9.087129678045,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,9.197883255004882,99.74
39611042,,,,,,,,,,,,,,,,,,
39611043,,,,,,,,,,,,,,,,,,
39611044,,,,,,,,,,,,,,,,,,
39611045,ett2/H,48.0,140.0,1.0,2400.0,5e-05,2.0,0.0,0.0,258.9970133304596,8.6447331735066,7.022897907665798,7.114963241985866,380.0,179.0,Early stopping due to no improvement (AdaptiveES).,0.6815714754556355,99.85263157894737
39611046,ett2/H,48.0,140.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,359.3409917354584,8.6447331735066,6.92738151550293,7.387748769351414,530.0,319.0,Early stopping due to no improvement (AdaptiveES).,0.6780025747587096,99.91509433962264
39611047,ett2/H,48.0,140.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,191.5897240638733,8.6447331735066,6.75474294594356,7.072018674441746,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,0.6842502219336374,99.81428571428572
39611048,ett2/H,48.0,140.0,1.0,2400.0,5e-05,4.0,0.0,0.0,320.6472489833832,8.6447331735066,6.77924246447427,7.0604013204574585,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,1.2825903253555297,99.784
39611049,ett2/H,48.0,140.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,299.4234519004822,8.6447331735066,6.682614207267761,6.815870336123875,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,1.2475991119941077,99.775
39611050,ett2/H,48.0,140.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,370.1774067878723,8.6447331735066,6.6148321117673605,7.091477496283395,300.0,99.0,Early stopping due to no improvement (AdaptiveES).,1.2339258082707723,99.84333333333333
39611051,ett2/H,48.0,140.0,1.0,2400.0,5e-05,8.0,0.0,0.0,539.9125344753265,8.6447331735066,6.972316265106201,7.350826689175197,230.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.347447247090547,99.77826086956522
39611052,ett2/H,48.0,140.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,610.4553689956665,8.6447331735066,6.943650450025286,7.5620251042502264,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,2.3479064473739037,99.83846153846154
39611053,ett2/H,48.0,140.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,541.2420933246613,8.6447331735066,6.948151162692478,7.162860444613865,230.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.3532278092011163,99.82608695652173
39611054,ett2/H,48.0,140.0,1.0,2400.0,5e-05,16.0,0.0,0.0,1251.6018147468567,8.6447331735066,6.989984563418797,7.528979352542332,270.0,59.0,Early stopping due to no improvement (AdaptiveES).,4.6355627554434315,99.84444444444445
39611055,ett2/H,48.0,140.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,1345.2664065361023,8.6447331735066,6.862674764224461,7.195332952908108,290.0,89.0,Early stopping due to no improvement (AdaptiveES).,4.638850753882836,99.83103448275862
39611056,ett2/H,48.0,140.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,1296.7805581092834,8.6447331735066,6.999582307679312,7.366770420755659,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,4.631360257523401,99.85357142857143
39611057,ett2/H,48.0,140.0,1.0,2400.0,5e-05,32.0,0.0,0.0,2208.9374980926514,8.6447331735066,7.1964700392314365,7.819696920258658,240.0,29.0,Early stopping due to no improvement (AdaptiveES).,9.203907523552576,99.82916666666667
39611058,ett2/H,48.0,140.0,1.0,2400.0,5e-05,32.0,0.0001,0.0,2296.9804496765137,8.6447331735066,7.269108533859253,7.414670245988028,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,9.187923007965088,99.572
39611059,ett2/H,48.0,140.0,1.0,2400.0,5e-05,32.0,0.0015,0.0,2398.746473312378,8.6447331735066,7.081428340503147,7.648499369621277,261.0,59.0,Early stopping due no time.,9.190600802615227,99.83141762452107
39611060,,,,,,,,,,,,,,,,,,
39611061,,,,,,,,,,,,,,,,,,
39611062,,,,,,,,,,,,,,,,,,
39611063,ett2/H,48.0,140.0,1.0,2400.0,5e-06,2.0,0.0,0.0,368.0516531467438,8.6447331735066,7.280640516962324,7.362735901560102,540.0,339.0,Early stopping due to no improvement (AdaptiveES).,0.6815778542447973,99.89444444444445
39611064,ett2/H,48.0,140.0,1.0,2400.0,5e-06,2.0,0.0001,0.0,347.8560073375702,8.6447331735066,7.377215266227722,7.4101519754954746,510.0,309.0,Early stopping due to no improvement (AdaptiveES).,0.6820714193231919,99.9078431372549
39611065,ett2/H,48.0,140.0,1.0,2400.0,5e-06,2.0,0.0015,0.0,361.816468000412,8.6447331735066,7.3467691114970615,7.382115176745823,530.0,329.0,Early stopping due to no improvement (AdaptiveES).,0.6826733301270683,99.9188679245283
39611066,ett2/H,48.0,140.0,1.0,2400.0,5e-06,4.0,0.0,0.0,857.7546195983887,8.6447331735066,7.2605772359030585,7.472190414156232,690.0,479.0,Early stopping due to no improvement (AdaptiveES).,1.243122973303864,99.93478260869566
39611067,ett2/H,48.0,140.0,1.0,2400.0,5e-06,4.0,0.0001,0.0,653.4412870407104,8.6447331735066,7.294064658028739,7.389749373708453,530.0,329.0,Early stopping due to no improvement (AdaptiveES).,1.232908857093667,99.9132075471698
39611068,ett2/H,48.0,140.0,1.0,2400.0,5e-06,4.0,0.0015,0.0,591.7014565467834,8.6447331735066,7.300104141235352,7.418302450861249,480.0,279.0,Early stopping due to no improvement (AdaptiveES).,1.2327122300863267,99.90833333333333
39611069,ett2/H,48.0,140.0,1.0,2400.0,5e-06,8.0,0.0,0.0,1392.0660419464111,8.6447331735066,7.306522028786795,7.480539917945862,590.0,389.0,Early stopping due to no improvement (AdaptiveES).,2.359434683444136,99.89491525423729
39611070,ett2/H,48.0,140.0,1.0,2400.0,5e-06,8.0,0.0001,0.0,1388.2593295574188,8.6447331735066,7.330456801823208,7.494362132889884,590.0,389.0,Early stopping due to no improvement (AdaptiveES).,2.352982463270931,99.9271186440678
39611071,ett2/H,48.0,140.0,1.0,2400.0,5e-06,8.0,0.0015,0.0,1412.5861711502075,8.6447331735066,7.315716164452689,7.52455118724278,600.0,389.0,Early stopping due to no improvement (AdaptiveES).,2.354310968319575,99.92166666666667
39611072,ett2/H,48.0,140.0,1.0,2400.0,5e-06,16.0,0.0,0.0,1390.2197206020355,8.6447331735066,7.35405821459634,7.452210375240871,300.0,99.0,Early stopping due to no improvement (AdaptiveES).,4.634066868623098,99.86666666666666
39611073,ett2/H,48.0,140.0,1.0,2400.0,5e-06,16.0,0.0001,0.0,1669.23384141922,8.6447331735066,7.354840397834778,7.490304418972561,360.0,159.0,Early stopping due to no improvement (AdaptiveES).,4.636761693822013,99.86111111111111
39611074,ett2/H,48.0,140.0,1.0,2400.0,5e-06,16.0,0.0015,0.0,2398.4513709545135,8.6447331735066,7.321327345711844,7.494818466050284,516.0,359.0,Early stopping due no time.,4.648162392682807,99.89922480620154
39611075,ett2/H,48.0,140.0,1.0,2400.0,5e-06,32.0,0.0,0.0,2398.3690688610077,8.6447331735066,7.313407727650234,7.496284416743687,261.0,119.0,Early stopping due no time.,9.18915479667342,99.816091954023
39611076,ett2/H,48.0,140.0,1.0,2400.0,5e-06,32.0,0.0001,0.0,2398.9149901866913,8.6447331735066,7.318271892411368,7.48068904876709,261.0,119.0,Early stopping due no time.,9.191246465704907,99.82758620689656
39611077,ett2/H,48.0,140.0,1.0,2400.0,5e-06,32.0,0.0015,0.0,2397.121671438217,8.6447331735066,7.297338673046657,7.4936026845659525,261.0,109.0,Early stopping due no time.,9.184375398460476,99.84291187739464
39611078,,,,,,,,,,,,,,,,,,
39611079,,,,,,,,,,,,,,,,,,
39611080,,,,,,,,,,,,,,,,,,
