PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39611082,ett2/W,8,14,1,2400,0.0005,2,0.0,0.0,51.85966420173645,3425.13956124442,2224.7043108258927,2630.942304338728,380,179,Early stopping due to no improvement (AdaptiveES).,0.13647322842949314,15.186842105263159
39611083,ett2/W,8,14,1,2400,0.0005,2,0.0001,0.0,48.944103479385376,3425.13956124442,2276.4481462751114,3021.0801391601562,350,149,Early stopping due to no improvement (AdaptiveES).,0.13984067099434988,14.874285714285714
39611084,ett2/W,8,14,1,2400,0.0005,2,0.0015,0.0,60.65772581100464,3425.13956124442,2046.06693812779,2268.9461669921875,430,219,Early stopping due to no improvement (AdaptiveES).,0.1410649016846058,14.804651162790698
39611085,ett2/W,8,14,1,2400,0.0005,4,0.0,0.0,54.55484104156494,3425.13956124442,2065.7323259626114,2292.5559692382812,350,149,Early stopping due to no improvement (AdaptiveES).,0.15587135314941405,20.08
39611086,ett2/W,8,14,1,2400,0.0005,4,0.0001,0.0,38.832030296325684,3425.13956124442,2482.316720145089,2547.9669799804688,290,89,Early stopping due to no improvement (AdaptiveES).,0.13390403451590702,20.555172413793102
39611087,ett2/W,8,14,1,2400,0.0005,4,0.0015,0.0,59.1407790184021,3425.13956124442,1854.8766217912946,2241.2371564592636,380,179,Early stopping due to no improvement (AdaptiveES).,0.15563404748314305,19.602631578947367
39611088,ett2/W,8,14,1,2400,0.0005,8,0.0,0.0,68.26239943504333,3425.13956124442,2135.8874860491073,2589.215000697545,490,289,Early stopping due to no improvement (AdaptiveES).,0.13931182014698884,30.753061224489795
39611089,ett2/W,8,14,1,2400,0.0005,8,0.0001,0.0,58.11591720581055,3425.13956124442,1997.8946533203125,2499.831961495536,410,199,Early stopping due to no improvement (AdaptiveES).,0.1417466047333508,30.4390243902439
39611090,ett2/W,8,14,1,2400,0.0005,8,0.0015,0.0,45.80119037628174,3425.13956124442,2142.6337454659597,2883.4437168666295,320,119,Early stopping due to no improvement (AdaptiveES).,0.14312904849648475,30.453125
39611091,ett2/W,8,14,1,2400,0.0005,16,0.0,0.0,43.5180881023407,3425.13956124442,1920.2852783203125,2171.3838413783483,290,89,Early stopping due to no improvement (AdaptiveES).,0.15006350895454143,50.07241379310345
