PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39588973,hierarchical_sales/D,30,826,1,2400,0.0005,2,0.0,0.0,141.7382354736328,3.3435469460487366,2.3729116639494894,2.564701218903065,210,9,Early stopping due to no improvement (AdaptiveES).,0.6749454464231218,90.31904761904762
39588974,hierarchical_sales/D,30,826,1,2400,0.0005,2,0.0001,0.0,205.05991053581238,3.3435469460487366,2.350988559126854,2.5133870822191238,320,119,Early stopping due to no improvement (AdaptiveES).,0.6408133395016193,90.521875
39588975,hierarchical_sales/D,30,826,1,2400,0.0005,2,0.0015,0.0,146.15947365760803,3.3435469460487366,2.372918742895126,2.5478494995832444,210,9,Early stopping due to no improvement (AdaptiveES).,0.6959991591317313,90.36190476190477
39588976,hierarchical_sales/D,30,826,1,2400,0.0005,4,0.0,0.0,223.23919129371643,3.3435469460487366,2.4124158281087875,2.4648459458351137,260,59,Early stopping due to no improvement (AdaptiveES).,0.8586135598329397,98.43846153846154
39588977,hierarchical_sales/D,30,826,1,2400,0.0005,4,0.0001,0.0,304.88987493515015,3.3435469460487366,2.443760643005371,2.497606279850006,370,169,Early stopping due to no improvement (AdaptiveES).,0.8240277135694349,97.6027027027027
39588978,hierarchical_sales/D,30,826,1,2400,0.0005,4,0.0015,0.0,223.4639973640442,3.3435469460487366,2.4322198379039763,2.4826734644174575,260,59,Early stopping due to no improvement (AdaptiveES).,0.859477475973276,96.12692307692308
39588979,hierarchical_sales/D,30,826,1,2400,0.0005,8,0.0,0.0,270.3342900276184,3.3435469460487366,2.3850735950469972,2.5438912391662596,210,9,Early stopping due to no improvement (AdaptiveES).,1.287307704062689,99.64761904761905
39588980,hierarchical_sales/D,30,826,1,2400,0.0005,8,0.0001,0.0,270.92829847335815,3.3435469460487366,2.3848868200182913,2.48331219881773,210,9,Early stopping due to no improvement (AdaptiveES).,1.2901362600780668,99.60952380952381
39588981,hierarchical_sales/D,30,826,1,2400,0.0005,8,0.0015,0.0,274.177197933197,3.3435469460487366,2.384696212410927,2.595552323460579,210,9,Early stopping due to no improvement (AdaptiveES).,1.3056071406319028,99.62857142857143
39588982,hierarchical_sales/D,30,826,1,2400,0.0005,16,0.0,0.0,418.25126361846924,3.3435469460487366,2.3282081973552704,2.632437861561775,210,9,Early stopping due to no improvement (AdaptiveES).,1.991674154145377,99.65238095238095
39588983,hierarchical_sales/D,30,826,1,2400,0.0005,16,0.0001,0.0,418.30349040031433,3.3435469460487366,2.328272040784359,2.8975420996546744,210,9,Early stopping due to no improvement (AdaptiveES).,1.9919228803543818,99.65238095238095
39588984,hierarchical_sales/D,30,826,1,2400,0.0005,16,0.0015,0.0,437.244993686676,3.3435469460487366,2.3282505851984023,2.7276679369807244,220,9,Early stopping due to no improvement (AdaptiveES).,1.9874787189743734,99.63181818181818
39588985,hierarchical_sales/D,30,826,1,2400,0.0005,32,0.0,0.0,744.0885887145996,3.3435469460487366,2.391951013803482,3.0740250194072725,220,9,Early stopping due to no improvement (AdaptiveES).,3.3822215036912398,99.55909090909091
39588986,hierarchical_sales/D,30,826,1,2400,0.0005,32,0.0001,0.0,748.0089061260223,3.3435469460487366,2.391757505238056,3.0100244507193565,220,9,Early stopping due to no improvement (AdaptiveES).,3.40004106760025,99.6
39588987,hierarchical_sales/D,30,826,1,2400,0.0005,32,0.0015,0.0,744.6219320297241,3.3435469460487366,2.391420212388039,3.095324853658676,220,9,Early stopping due to no improvement (AdaptiveES).,3.3846458023244685,99.58636363636364
39588988,hierarchical_sales/D,30,826,1,2400,0.0005,64,0.0,0.0,1358.2098915576935,3.3435469460487366,2.4144417294859886,3.3834111213684084,210,9,Early stopping due to no improvement (AdaptiveES).,6.4676668201174055,99.6047619047619
39588989,hierarchical_sales/D,30,826,1,2400,0.0005,64,0.0001,0.0,1358.618908405304,3.3435469460487366,2.4145038214325907,3.3835112869739534,210,9,Early stopping due to no improvement (AdaptiveES).,6.469615323202951,99.65238095238095
39588990,hierarchical_sales/D,30,826,1,2400,0.0005,64,0.0015,0.0,1358.8676972389221,3.3435469460487366,2.414845305979252,3.354729948937893,210,9,Early stopping due to no improvement (AdaptiveES).,6.470800081888835,99.5952380952381
39588991,hierarchical_sales/D,30,826,1,2400,5e-05,2,0.0,0.0,215.15710139274597,3.3435469460487366,2.4917046549916266,2.606109342575073,330,129,Early stopping due to no improvement (AdaptiveES).,0.6519923166795211,90.93333333333334
39588992,hierarchical_sales/D,30,826,1,2400,5e-05,2,0.0001,0.0,215.42381238937378,3.3435469460487366,2.5427811199426653,2.6343215969204903,330,129,Early stopping due to no improvement (AdaptiveES).,0.65280048196966,90.33636363636364
39588993,hierarchical_sales/D,30,826,1,2400,5e-05,2,0.0015,0.0,215.5214183330536,3.3435469460487366,2.5016974902153013,2.6367716455459593,330,129,Early stopping due to no improvement (AdaptiveES).,0.6530964677984065,90.05151515151515
39588994,hierarchical_sales/D,30,826,1,2400,5e-05,4,0.0,0.0,238.50128865242004,3.3435469460487366,2.4896381214261054,2.5930011984705925,280,69,Early stopping due to no improvement (AdaptiveES).,0.8517915878977095,95.91071428571429
39588995,hierarchical_sales/D,30,826,1,2400,5e-05,4,0.0001,0.0,230.62780499458313,3.3435469460487366,2.519787447750568,2.6092961305379867,270,69,Early stopping due to no improvement (AdaptiveES).,0.8541783032593904,96.92962962962963
39588996,hierarchical_sales/D,30,826,1,2400,5e-05,4,0.0015,0.0,381.4321999549866,3.3435469460487366,2.5121866193413736,2.8044530659914018,470,269,Early stopping due to no improvement (AdaptiveES).,0.8115587082314999,97.02127659574468
39588997,hierarchical_sales/D,30,826,1,2400,5e-05,8,0.0,0.0,545.113664150238,3.3435469460487366,2.5387767726182937,2.747663391530514,450,249,Early stopping due to no improvement (AdaptiveES).,1.211364623175727,99.81111111111112
39588998,hierarchical_sales/D,30,826,1,2400,5e-05,8,0.0001,0.0,419.618935585022,3.3435469460487366,2.52488341987133,2.6504630029201506,340,139,Early stopping due to no improvement (AdaptiveES).,1.2341741758234361,99.77941176470588
39588999,hierarchical_sales/D,30,826,1,2400,5e-05,8,0.0015,0.0,419.634605884552,3.3435469460487366,2.563086065351963,2.771303961277008,340,139,Early stopping due to no improvement (AdaptiveES).,1.2342201569501092,99.79117647058824
39589000,hierarchical_sales/D,30,826,1,2400,5e-05,16,0.0,0.0,472.3158233165741,3.3435469460487366,2.562586658000946,2.846224076151848,240,29,Early stopping due to no improvement (AdaptiveES).,1.9679839700460433,99.6
39589001,hierarchical_sales/D,30,826,1,2400,5e-05,16,0.0001,0.0,550.1444838047028,3.3435469460487366,2.551602157652378,2.7845981484651565,280,69,Early stopping due to no improvement (AdaptiveES).,1.9648029608385904,99.71428571428571
39589002,hierarchical_sales/D,30,826,1,2400,5e-05,16,0.0015,0.0,545.7422094345093,3.3435469460487366,2.5616764131188394,2.779807807803154,280,69,Early stopping due to no improvement (AdaptiveES).,1.9490806043148041,99.72857142857143
39589003,hierarchical_sales/D,30,826,1,2400,5e-05,32,0.0,0.0,847.8400478363037,3.3435469460487366,2.57056057035923,2.8025333872437477,250,39,Early stopping due to no improvement (AdaptiveES).,3.3913614377975465,99.708
39589004,hierarchical_sales/D,30,826,1,2400,5e-05,32,0.0001,0.0,815.1479742527008,3.3435469460487366,2.5299294915795327,2.908003182411194,240,39,Early stopping due to no improvement (AdaptiveES).,3.3964512179295223,99.65833333333333
39589005,hierarchical_sales/D,30,826,1,2400,5e-05,32,0.0015,0.0,819.3814561367035,3.3435469460487366,2.58759112149477,3.001799031794071,240,39,Early stopping due to no improvement (AdaptiveES).,3.4140908320744834,99.68333333333334
