PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39550304,hospital,12,767,1,2400,0.0005,2,0.0,0.0,204.69136714935303,25.15281586408615,21.75497991681099,22.462034056186678,490,289,Early stopping due to no improvement (AdaptiveES).,0.417738304332811,14.13265306122449
39550305,hospital,12,767,1,2400,0.0005,2,0.0001,0.0,201.64417695999146,25.15281586408615,22.08205891251564,24.346100630760194,480,279,Early stopping due to no improvement (AdaptiveES).,0.4200929174820582,14.114583333333334
39550306,hospital,12,767,1,2400,0.0005,2,0.0015,0.0,100.38307094573975,25.15281586408615,25.15281586408615,38.29892608523369,210,0,Early stopping due to no improvement (AdaptiveES).,0.47801609947567897,14.476190476190476
39550307,hospital,12,767,1,2400,0.0005,4,0.0,0.0,129.74532175064087,25.15281586408615,21.825318570137025,30.15276536107063,290,89,Early stopping due to no improvement (AdaptiveES).,0.44739888783158926,18.379310344827587
39550308,hospital,12,767,1,2400,0.0005,4,0.0001,0.0,177.14378118515015,25.15281586408615,21.42774596452713,22.889560544490813,410,209,Early stopping due to no improvement (AdaptiveES).,0.4320590792632685,18.13658536585366
39550309,hospital,12,767,1,2400,0.0005,4,0.0015,0.0,95.39273858070374,25.15281586408615,25.15281586408615,38.334570319652556,210,0,Early stopping due to no improvement (AdaptiveES).,0.4542525427682059,19.385714285714286
39550310,hospital,12,767,1,2400,0.0005,8,0.0,0.0,110.78477931022644,25.15281586408615,21.434068468809127,23.600143287181854,250,49,Early stopping due to no improvement (AdaptiveES).,0.443140380859375,26.26
39550311,hospital,12,767,1,2400,0.0005,8,0.0001,0.0,120.56568813323975,25.15281586408615,24.806138941049575,38.229704098701475,270,69,Early stopping due to no improvement (AdaptiveES).,0.4465408722559611,26.074074074074073
39550312,hospital,12,767,1,2400,0.0005,8,0.0015,0.0,141.67107677459717,25.15281586408615,22.61335849046707,22.83203868150711,330,129,Early stopping due to no improvement (AdaptiveES).,0.42930741599111844,26.6
39550313,hospital,12,767,1,2400,0.0005,16,0.0,0.0,108.38051056861877,25.15281586408615,21.711558480262756,25.74988861203194,230,19,Early stopping due to no improvement (AdaptiveES).,0.4712210924729057,44.504347826086956
39550314,hospital,12,767,1,2400,0.0005,16,0.0001,0.0,108.28154945373535,25.15281586408615,21.74591594338417,24.29871846318245,230,19,Early stopping due to no improvement (AdaptiveES).,0.4707908184632011,44.57826086956522
39550315,hospital,12,767,1,2400,0.0005,16,0.0015,0.0,108.6717095375061,25.15281586408615,21.64613481760025,23.72630576491356,230,19,Early stopping due to no improvement (AdaptiveES).,0.47248707957889724,45.27391304347826
39550316,hospital,12,767,1,2400,0.0005,32,0.0,0.0,131.34385180473328,25.15281586408615,22.911098724603654,24.244641556739808,260,59,Early stopping due to no improvement (AdaptiveES).,0.5051700243583093,70.37307692307692
39550317,hospital,12,767,1,2400,0.0005,32,0.0001,0.0,107.65713095664978,25.15281586408615,23.50188602566719,25.26975331425667,220,9,Early stopping due to no improvement (AdaptiveES).,0.48935208754106,71.78181818181818
39550318,hospital,12,767,1,2400,0.0005,32,0.0015,0.0,185.29684615135193,25.15281586408615,21.773164254426955,23.40622969031334,380,179,Early stopping due to no improvement (AdaptiveES).,0.4876242637634277,69.16052631578947
39550319,hospital,12,767,1,2400,0.0005,64,0.0,0.0,131.0891671180725,25.15281586408615,22.975034359693527,25.129044362306594,220,19,Early stopping due to no improvement (AdaptiveES).,0.5958612647923556,79.74090909090908
39550320,hospital,12,767,1,2400,0.0005,64,0.0001,0.0,134.77647829055786,25.15281586408615,22.66423803448677,23.597053747177124,230,29,Early stopping due to no improvement (AdaptiveES).,0.58598603165668,80.3913043478261
39550321,hospital,12,767,1,2400,0.0005,64,0.0015,0.0,137.29830026626587,25.15281586408615,22.34920248746872,23.451037170886995,230,19,Early stopping due to no improvement (AdaptiveES).,0.5969504636266957,79.76521739130435
39550322,hospital,12,767,1,2400,5e-05,2,0.0,0.0,177.9654574394226,25.15281586408615,21.797551978826522,23.39189298272133,410,209,Early stopping due to no improvement (AdaptiveES).,0.4340630333598067,13.865853658536585
39550323,hospital,12,767,1,2400,5e-05,2,0.0001,0.0,213.6478979587555,25.15281586408615,21.48487446665764,22.66205605506897,500,289,Early stopping due to no improvement (AdaptiveES).,0.42729667139053346,13.936
39550324,hospital,12,767,1,2400,5e-05,2,0.0015,0.0,170.90703797340393,25.15281586408615,21.437821856737138,23.264035905599595,410,209,Early stopping due to no improvement (AdaptiveES).,0.4168473598433704,14.802439024390244
39550325,hospital,12,767,1,2400,5e-05,4,0.0,0.0,136.61582684516907,25.15281586408615,21.745404858589172,22.91777657866478,310,99,Early stopping due to no improvement (AdaptiveES).,0.44069733312053067,18.429032258064517
39550326,hospital,12,767,1,2400,5e-05,4,0.0001,0.0,129.05587029457092,25.15281586408615,21.75435578584671,23.102081454992295,290,89,Early stopping due to no improvement (AdaptiveES).,0.4450214459978301,18.66551724137931
39550327,hospital,12,767,1,2400,5e-05,4,0.0015,0.0,131.56787705421448,25.15281586408615,21.7097998380661,22.801395530700685,300,99,Early stopping due to no improvement (AdaptiveES).,0.4385608283678691,18.66
39550328,hospital,12,767,1,2400,5e-05,8,0.0,0.0,124.67798852920532,25.15281586408615,22.035564024448394,23.046008627414704,280,79,Early stopping due to no improvement (AdaptiveES).,0.4452797770500183,26.067857142857143
39550329,hospital,12,767,1,2400,5e-05,8,0.0001,0.0,158.8842077255249,25.15281586408615,22.13603292584419,23.792811540365218,380,179,Early stopping due to no improvement (AdaptiveES).,0.4181173632019444,26.66315789473684
39550330,hospital,12,767,1,2400,5e-05,8,0.0015,0.0,121.92145991325378,25.15281586408615,21.949885258674623,22.802725394964217,280,79,Early stopping due to no improvement (AdaptiveES).,0.435435037953513,26.62142857142857
39550331,hospital,12,767,1,2400,5e-05,16,0.0,0.0,140.87689208984375,25.15281586408615,22.521785430908203,22.8057858145237,320,109,Early stopping due to no improvement (AdaptiveES).,0.44024139568209647,44.8625
39550332,hospital,12,767,1,2400,5e-05,16,0.0001,0.0,146.92001008987427,25.15281586408615,22.428632375001907,23.210850993394853,340,129,Early stopping due to no improvement (AdaptiveES).,0.4321187734603882,44.32941176470588
39550333,hospital,12,767,1,2400,5e-05,16,0.0015,0.0,133.91804003715515,25.15281586408615,22.34616266965866,23.08375261425972,300,89,Early stopping due to no improvement (AdaptiveES).,0.44639461835225425,45.223333333333336
39550334,hospital,12,767,1,2400,5e-05,32,0.0,0.0,127.97494459152222,25.15281586408615,22.12524919629097,23.5553779399395,270,69,Early stopping due to no improvement (AdaptiveES).,0.47398268205148203,69.87407407407407
39550335,hospital,12,767,1,2400,5e-05,32,0.0001,0.0,137.39311051368713,25.15281586408615,22.371419575214386,23.677763755321504,280,69,Early stopping due to no improvement (AdaptiveES).,0.49069102832249234,69.1
39550336,hospital,12,767,1,2400,5e-05,32,0.0015,0.0,129.93692421913147,25.15281586408615,22.33964538693428,23.418232998847962,270,59,Early stopping due to no improvement (AdaptiveES).,0.4812492026223077,69.78888888888889
39550337,hospital,12,767,1,2400,5e-05,64,0.0,0.0,142.8950378894806,25.15281586408615,22.455362483263016,24.007619588375093,240,39,Early stopping due to no improvement (AdaptiveES).,0.5953973631064097,79.77083333333333
39550338,hospital,12,767,1,2400,5e-05,64,0.0001,0.0,139.8185737133026,25.15281586408615,22.578470207452774,24.195636059045793,240,39,Early stopping due to no improvement (AdaptiveES).,0.5825787405172984,80.02083333333333
39550339,hospital,12,767,1,2400,5e-05,64,0.0015,0.0,149.5084364414215,25.15281586408615,22.31383309006691,23.317935556173325,260,59,Early stopping due to no improvement (AdaptiveES).,0.5750337343949538,80.48461538461538
