PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39612398,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,2.0,0.0,0.0,178.66985416412354,12.729836069579635,12.729836069579635,22.600969652157453,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.8508103472845895,99.79523809523809
39612399,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,177.7839674949646,12.729836069579635,12.729836069579635,14.777570075754609,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.8465919199443999,99.75238095238095
39612400,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,177.95358228683472,12.729836069579635,12.729836069579635,14.646116698604255,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.8473995242800031,99.77619047619048
39612401,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,4.0,0.0,0.0,293.37608075141907,12.729836069579635,12.729836069579635,13.904153868910813,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.3970305340630667,99.77619047619048
39612402,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,293.4583866596222,12.729836069579635,12.729836069579635,19.028282588259096,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.397422440846761,99.74285714285715
39612403,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,293.7594270706177,12.729836069579635,12.729836069579635,14.4982878812367,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,1.3988564400445846,99.78571428571429
39612404,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,8.0,0.0,0.0,527.4880075454712,12.729836069579635,12.729836069579635,14.436571603729611,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.5118492603302003,99.76666666666667
39612405,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,527.939465045929,12.729836069579635,12.729836069579635,13.942346504224199,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.51399895123073,99.73333333333333
39612406,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,528.0732851028442,12.729836069579635,12.729836069579635,14.089815912856942,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.5146362247921172,99.8
39612407,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1008.0288615226746,12.729836069579635,12.729836069579635,13.505673834965343,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.800138961701166,99.71904761904761
39612408,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1006.2463874816895,12.729836069579635,12.729836069579635,13.247038408049516,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.791650971912202,99.8
39612409,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1005.1846196651459,12.729836069579635,12.729836069579635,13.970941749179648,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,4.786594925607954,99.8047619047619
39612410,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,32.0,0.0,0.0,1959.674723625183,12.729836069579635,12.729836069579635,13.286127089567128,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,9.33178603762672,99.8
39612411,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,1959.7040367126465,12.729836069579635,12.729836069579635,13.630471565006744,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,9.33192553747268,99.76190476190476
39612412,jena_weather/10T,48.0,420.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,1959.2063398361206,12.729836069579635,12.729836069579635,14.12917387325849,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,9.329555513745262,99.76190476190476
39612413,,,,,,,,,,,,,,,,,,
39612414,,,,,,,,,,,,,,,,,,
39612415,,,,,,,,,,,,,,,,,,
39612416,jena_weather/10T,48.0,420.0,1.0,2400.0,5e-05,2.0,0.0,0.0,178.11326789855957,12.729836069579635,12.729836069579635,14.38888565104987,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.8481599444434756,99.75238095238095
39612417,jena_weather/10T,48.0,420.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,178.13896894454956,12.729836069579635,12.729836069579635,14.467024174385838,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.8482823689778646,99.75714285714285
39612418,jena_weather/10T,48.0,420.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,178.04375743865967,12.729836069579635,12.729836069579635,14.34042424841651,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.847828966095334,99.78095238095239
