PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39612453,jena_weather/D,30,42,1,2400,0.0005,2,0.0,0.0,39.583235025405884,15.77496164975067,15.77496164975067,31.244908025222166,210,0,Early stopping due to no improvement (AdaptiveES).,0.18849308490753175,29.085714285714285
39612454,jena_weather/D,30,42,1,2400,0.0005,2,0.0001,0.0,39.82003951072693,15.77496164975067,15.77496164975067,21.20270089468076,210,0,Early stopping due to no improvement (AdaptiveES).,0.18962067308880035,28.995238095238093
39612455,jena_weather/D,30,42,1,2400,0.0005,2,0.0015,0.0,73.26837348937988,15.77496164975067,14.297945649318752,17.50269415770613,410,209,Early stopping due to no improvement (AdaptiveES).,0.17870421060701697,29.12682926829268
39612456,jena_weather/D,30,42,1,2400,0.0005,4,0.0,0.0,41.84566330909729,15.77496164975067,15.77496164975067,21.665678940713406,210,0,Early stopping due to no improvement (AdaptiveES).,0.1992665688196818,47.05238095238095
39612457,jena_weather/D,30,42,1,2400,0.0005,4,0.0001,0.0,41.11686301231384,15.77496164975067,15.77436947343605,18.835459028947213,220,9,Early stopping due to no improvement (AdaptiveES).,0.18689620928330855,50.345454545454544
39612458,jena_weather/D,30,42,1,2400,0.0005,4,0.0015,0.0,40.420241355895996,15.77496164975067,15.77496164975067,24.515035139662878,210,0,Early stopping due to no improvement (AdaptiveES).,0.19247879981994628,49.09047619047619
39612459,jena_weather/D,30,42,1,2400,0.0005,8,0.0,0.0,45.128684759140015,15.77496164975067,15.77496164975067,22.478821390796277,210,0,Early stopping due to no improvement (AdaptiveES).,0.21489984194437664,75.78571428571429
39612460,jena_weather/D,30,42,1,2400,0.0005,8,0.0001,0.0,46.01055598258972,15.77496164975067,15.77496164975067,22.68957320405614,220,0,Early stopping due to no improvement (AdaptiveES).,0.20913944786245173,76.02727272727273
39612461,jena_weather/D,30,42,1,2400,0.0005,8,0.0015,0.0,44.5806782245636,15.77496164975067,15.77496164975067,21.987640841198818,210,0,Early stopping due to no improvement (AdaptiveES).,0.21229041871570406,75.31904761904762
39612462,jena_weather/D,30,42,1,2400,0.0005,16,0.0,0.0,65.14419507980347,15.77496164975067,15.77496164975067,21.77312223444737,210,0,Early stopping due to no improvement (AdaptiveES).,0.3102118912197295,86.6047619047619
