PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39615250,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,2.0,0.0,0.0,180.59062576293945,10.047522106873137,10.047522106873137,11.931952985047939,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.8599559216272263,99.77619047619048
39615251,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,256.26880145072937,10.047522106873137,9.428371572401375,9.583235182888096,300.0,89.0,Early stopping due to no improvement (AdaptiveES).,0.8542305612564087,99.84333333333333
39615252,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,263.8705942630768,10.047522106873137,9.104827504250265,11.836793847869904,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,0.8511957899216682,99.83548387096774
39615253,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,4.0,0.0,0.0,437.2059874534607,10.047522106873137,8.770810534911496,9.031154916067386,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,1.4103423533901092,99.84516129032258
39615254,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,368.1736605167389,10.047522106873137,8.671384318842597,10.014586063079713,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.416052967768449,99.82307692307693
39615255,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,939.9729466438293,10.047522106873137,8.336917244452273,8.904581782031094,670.0,469.0,Early stopping due to no improvement (AdaptiveES).,1.4029453708164727,99.92835820895522
39615256,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,8.0,0.0,0.0,868.9249274730682,10.047522106873137,8.682032576717791,9.140742297483873,340.0,139.0,Early stopping due to no improvement (AdaptiveES).,2.5556625786949607,99.85
39615257,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,1094.4861390590668,10.047522106873137,8.699138716661505,9.173095354699486,430.0,229.0,Early stopping due to no improvement (AdaptiveES).,2.545317303302676,99.87674418604651
39615258,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,661.8583674430847,10.047522106873137,8.732951527084445,9.638331121742903,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,2.5456103508289045,99.8
39615259,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1459.3117980957031,10.047522106873137,8.327968146008928,9.444263086853814,300.0,99.0,Early stopping due to no improvement (AdaptiveES).,4.864373520215352,99.83
39615260,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1362.2163889408112,10.047522106873137,8.630446868992987,9.395691023673862,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,4.865059708697455,99.80357142857143
39615261,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1799.9266562461853,10.047522106873137,8.759375564332696,9.311031921611479,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,4.864667590888771,99.85405405405406
39615262,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,32.0,0.0,0.0,2400.142637729645,10.047522106873137,8.779034206466307,9.461746933537402,253.0,59.0,Early stopping due no time.,9.486731195638303,99.81027667984189
39615263,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,2400.3075621128082,10.047522106873137,9.098966091072985,9.638075195008977,253.0,109.0,Early stopping due no time.,9.487383082921326,99.81422924901186
39615264,jena_weather/H,48.0,399.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,2401.6982715129852,10.047522106873137,8.77136205223256,11.316290585878527,253.0,119.0,Early stopping due no time.,9.49287983551327,99.78656126482214
39615265,,,,,,,,,,,,,,,,,,
39615266,,,,,,,,,,,,,,,,,,
39615267,,,,,,,,,,,,,,,,,,
39615268,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,2.0,0.0,0.0,240.9999041557312,10.047522106873137,8.443051060107315,9.810751733591868,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,0.860715184041432,99.84285714285714
39615269,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,498.9501540660858,10.047522106873137,8.897156149747648,9.13970172349807,590.0,389.0,Early stopping due to no improvement (AdaptiveES).,0.8456789691569442,99.90508474576271
39615270,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,230.12665510177612,10.047522106873137,8.337374754582665,9.72292799629005,270.0,69.0,Early stopping due to no improvement (AdaptiveES).,0.852322151042797,99.81111111111112
39615271,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,4.0,0.0,0.0,524.205944776535,10.047522106873137,8.496151615643786,9.258141096260044,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,1.416773770950936,99.86216216216216
39615272,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,538.0480859279633,10.047522106873137,8.817138387422476,8.98078277208177,380.0,179.0,Early stopping due to no improvement (AdaptiveES).,1.4159164497726842,99.86052631578947
39615273,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,539.5555694103241,10.047522106873137,8.779929674230516,9.356186600690265,380.0,179.0,Early stopping due to no improvement (AdaptiveES).,1.419883574310102,99.8578947368421
39615274,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,8.0,0.0,0.0,712.3345987796783,10.047522106873137,8.70862601320481,9.500867534162742,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,2.5440534395830974,99.80714285714286
39615275,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,712.740875005722,10.047522106873137,8.747883462679706,9.315923497856906,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,2.5455043886389053,99.82142857142857
39615276,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,713.331155538559,10.047522106873137,8.951156525495684,9.832598185477158,280.0,79.0,Early stopping due to no improvement (AdaptiveES).,2.547612536805017,99.80714285714286
39615277,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,16.0,0.0,0.0,1264.1538298130035,10.047522106873137,8.615763765737592,9.224737577051634,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,4.862131335185125,99.75769230769231
39615278,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,1454.5389649868011,10.047522106873137,8.694173509942456,9.26224751233877,300.0,89.0,Early stopping due to no improvement (AdaptiveES).,4.848463624318441,99.83333333333333
39615279,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,1455.922202348709,10.047522106873137,8.68488585019839,9.319372326357378,300.0,89.0,Early stopping due to no improvement (AdaptiveES).,4.853074464797974,99.84333333333333
39615280,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,32.0,0.0,0.0,2186.541620492935,10.047522106873137,9.13540332003807,9.614384012252447,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,9.506703392319057,99.77391304347826
39615281,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,32.0,0.0001,0.0,2283.174478530884,10.047522106873137,9.12023609373275,10.198971879735057,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,9.513228289286296,99.77916666666667
39615282,jena_weather/H,48.0,399.0,1.0,2400.0,5e-05,32.0,0.0015,0.0,2183.6574635505676,10.047522106873137,9.12445671441743,9.647067123425327,230.0,19.0,Early stopping due to no improvement (AdaptiveES).,9.49416346239007,99.78260869565217
39615283,,,,,,,,,,,,,,,,,,
39615284,,,,,,,,,,,,,,,,,,
39615285,,,,,,,,,,,,,,,,,,
39615286,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,2.0,0.0,0.0,1452.0021240711212,10.047522106873137,8.82301636791921,8.866501679976604,1720.0,1419.0,Early stopping due to no improvement (AdaptiveES).,0.8441876414210298,99.9639534883721
39615287,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,2.0,0.0001,0.0,785.4335541725159,10.047522106873137,8.894633124715515,8.910493153213922,920.0,719.0,Early stopping due to no improvement (AdaptiveES).,0.8537324602189271,99.93586956521739
39615288,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,2.0,0.0015,0.0,1427.7514038085938,10.047522106873137,9.004276600710693,9.043621601315127,1710.0,1409.0,Early stopping due to no improvement (AdaptiveES).,0.8349426690597981,99.9654970760234
39615289,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,4.0,0.0,0.0,1209.5760045051575,10.047522106873137,9.053311529414108,9.057915581101994,860.0,659.0,Early stopping due to no improvement (AdaptiveES).,1.406484218253646,99.93720930232558
39615290,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,4.0,0.0001,0.0,1325.2947134971619,10.047522106873137,9.017997048152168,9.070250436308838,940.0,739.0,Early stopping due to no improvement (AdaptiveES).,1.4098884828547213,99.94680851063829
39615291,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,4.0,0.0015,0.0,664.9830043315887,10.047522106873137,9.00051062130591,9.089293857437692,470.0,269.0,Early stopping due to no improvement (AdaptiveES).,1.4148578998890329,99.87659574468086
39615292,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,8.0,0.0,0.0,1737.4868230819702,10.047522106873137,9.018232155325157,9.071478847613824,680.0,469.0,Early stopping due to no improvement (AdaptiveES).,2.555128294580123,99.92058823529412
39615293,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,8.0,0.0001,0.0,1955.26247549057,10.047522106873137,9.071095271612561,9.120652531694976,770.0,569.0,Early stopping due to no improvement (AdaptiveES).,2.5393022484593577,99.92987012987012
39615294,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,8.0,0.0015,0.0,1956.671404838562,10.047522106873137,9.066832132194014,9.097919047832312,770.0,569.0,Early stopping due to no improvement (AdaptiveES).,2.5411321460426626,99.92987012987012
39615295,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,16.0,0.0,0.0,2401.228880405426,10.047522106873137,9.13580170794878,9.170748456669529,495.0,369.0,Early stopping due no time.,4.850967902366561,99.8929292929293
39615296,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,16.0,0.0001,0.0,2400.0761165618896,10.047522106873137,9.11398504053553,9.173055186224659,494.0,409.0,Early stopping due no time.,4.858454497236955,99.89878542510121
39615297,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,16.0,0.0015,0.0,2399.839832544327,10.047522106873137,9.139493011559049,9.197028087341183,495.0,339.0,Early stopping due no time.,4.848161715208882,99.8949494949495
39615298,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,32.0,0.0,0.0,2399.582132577896,10.047522106873137,9.190764958948074,9.190764958948074,252.0,249.0,Early stopping due no time.,9.522151921476636,99.78968253968254
39615299,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,32.0,0.0001,0.0,2393.7145137786865,10.047522106873137,9.194452381049771,9.194452381049771,251.0,249.0,Early stopping due no time.,9.536712569544514,99.78486055776892
39615300,jena_weather/H,48.0,399.0,1.0,2400.0,5e-06,32.0,0.0015,0.0,2397.786255836487,10.047522106873137,9.200363565169807,9.200363565169807,252.0,249.0,Early stopping due no time.,9.515026333786192,99.79761904761905
39615301,,,,,,,,,,,,,,,,,,
39615302,,,,,,,,,,,,,,,,,,
39615303,,,,,,,,,,,,,,,,,,
