PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39562872,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,2.0,0.0,0.0,144.17528891563416,35.118980407714844,35.118980407714844,42.69546127319336,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.686550353822254,99.76190476190476
39562875,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,144.3510913848877,35.118980407714844,35.118980407714844,51.13034439086914,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.687387456212725,99.65714285714286
39562878,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,143.52298307418823,35.118980407714844,35.118980407714844,53.16963577270508,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,0.6834441775367374,99.66666666666667
39562881,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,4.0,0.0,0.0,277.80693650245667,35.118980407714844,22.495750427246094,50.204505920410156,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,1.3228914578755697,99.76190476190476
39562885,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,278.2375829219818,35.118980407714844,22.520662307739258,35.689571380615234,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,1.3249418440319243,99.75238095238095
39562888,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,450.4822096824646,35.118980407714844,22.240657806396484,36.69985580444336,340.0,129.0,Early stopping due to no improvement (AdaptiveES).,1.3249486944254707,99.79411764705883
39562891,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,8.0,0.0,0.0,805.9490513801575,35.118980407714844,30.573909759521484,49.76398849487305,310.0,109.0,Early stopping due to no improvement (AdaptiveES).,2.5998361010705273,99.84193548387097
39562894,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,544.577728509903,35.118980407714844,35.118980407714844,49.688777923583984,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.5932285876501173,99.58571428571429
39562897,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,544.0083997249603,35.118980407714844,35.118980407714844,50.738304138183594,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,2.5905175878888085,99.66190476190476
39562900,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1096.1547241210938,35.118980407714844,35.118980407714844,50.27461624145508,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,5.21978562672933,99.72380952380952
39562903,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1095.0535423755646,35.118980407714844,35.118980407714844,54.492637634277344,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,5.214542147091457,99.75238095238095
39562906,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1411.3368282318115,35.118980407714844,33.27967071533203,54.25303268432617,270.0,69.0,Early stopping due to no improvement (AdaptiveES).,5.227174601731477,99.74074074074075
39562909,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,32.0,0.0,0.0,2197.300166130066,35.118980407714844,35.118980407714844,50.435733795166016,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,10.463335556075686,99.62380952380953
39562912,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,32.0,0.0001,0.0,2395.726238489151,35.118980407714844,34.79874801635742,37.23897171020508,229.0,139.0,Early stopping due no time.,10.461688064591854,99.78165938864629
39562915,saugeenday/D,30.0,20.0,1.0,2400.0,0.0005,32.0,0.0015,0.0,2192.020882844925,35.118980407714844,35.118980407714844,51.688926696777344,210.0,0.0,Early stopping due to no improvement (AdaptiveES).,10.438196055094402,99.64285714285714
39562918,,,,,,,,,,,,,,,,,,
39562920,,,,,,,,,,,,,,,,,,
39562923,,,,,,,,,,,,,,,,,,
39562926,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,2.0,0.0,0.0,172.33816051483154,35.118980407714844,20.56951904296875,35.90347671508789,250.0,39.0,Early stopping due to no improvement (AdaptiveES).,0.6893538265228272,99.684
39562929,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,182.38629508018494,35.118980407714844,19.906410217285156,31.601707458496094,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,0.7014864077934853,99.8076923076923
39562932,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,179.4423418045044,35.118980407714844,20.468074798583984,36.93277359008789,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,0.6901641249656677,99.8076923076923
39562935,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,4.0,0.0,0.0,317.956422328949,35.118980407714844,23.809627532958984,29.71293830871582,240.0,29.0,Early stopping due to no improvement (AdaptiveES).,1.3248198787371317,99.78333333333333
39562938,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,317.74233531951904,35.118980407714844,23.72882652282715,31.1879825592041,240.0,29.0,Early stopping due to no improvement (AdaptiveES).,1.3239277869462966,99.7875
39562941,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,317.6081223487854,35.118980407714844,23.798126220703125,29.661224365234375,240.0,29.0,Early stopping due to no improvement (AdaptiveES).,1.3233684202035267,99.67916666666666
39562944,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,8.0,0.0,0.0,571.731205701828,35.118980407714844,24.676599502563477,42.60260009765625,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.5987796003168278,99.76818181818182
39562947,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,571.1734702587128,35.118980407714844,25.165624618530273,37.358619689941406,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.596244458718733,99.63181818181818
39562950,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,571.2172203063965,35.118980407714844,27.265186309814453,41.31526565551758,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.596443371339278,99.75909090909092
39562953,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,16.0,0.0,0.0,1097.6329998970032,35.118980407714844,25.154193878173828,36.353965759277344,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,5.2268252179736185,99.74761904761905
39562956,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,1097.1643879413605,35.118980407714844,25.154193878173828,37.484901428222656,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,5.224593769936335,99.7
39562959,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,1097.692440032959,35.118980407714844,25.154193878173828,38.22868728637695,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,5.2271077405838735,99.76190476190476
39562962,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,32.0,0.0,0.0,2302.0681235790253,35.118980407714844,26.05230712890625,38.33345031738281,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,10.463947288556533,99.77727272727273
39562965,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,32.0,0.0001,0.0,2305.0723118782043,35.118980407714844,26.025962829589844,39.26203918457031,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,10.477602670409462,99.76818181818182
39562968,saugeenday/D,30.0,20.0,1.0,2400.0,5e-05,32.0,0.0015,0.0,2303.1575815677643,35.118980407714844,26.55961036682129,37.418678283691406,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,10.468899518793279,99.75454545454545
39562971,,,,,,,,,,,,,,,,,,
39562975,,,,,,,,,,,,,,,,,,
39562978,,,,,,,,,,,,,,,,,,
39562981,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,2.0,0.0,0.0,193.53537678718567,35.118980407714844,20.108552932739258,28.24870491027832,280.0,69.0,Early stopping due to no improvement (AdaptiveES).,0.6911988667079381,99.78571428571429
39562984,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,2.0,0.0001,0.0,210.95256996154785,35.118980407714844,20.129533767700195,28.518125534057617,290.0,79.0,Early stopping due to no improvement (AdaptiveES).,0.7274238594647111,99.75862068965517
39562987,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,2.0,0.0015,0.0,179.7458302974701,35.118980407714844,19.905920028686523,28.988391876220703,260.0,49.0,Early stopping due to no improvement (AdaptiveES).,0.6913313884001512,99.8
39562990,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,4.0,0.0,0.0,317.8866374492645,35.118980407714844,19.600053787231445,30.904123306274414,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,1.3245289285977682,99.775
39562993,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,4.0,0.0001,0.0,318.02488923072815,35.118980407714844,19.435640335083008,30.7821044921875,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,1.3251048237085343,99.62916666666666
39562996,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,4.0,0.0015,0.0,317.78528928756714,35.118980407714844,20.122291564941406,30.80748176574707,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,1.324106678366661,99.70833333333333
39562999,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,8.0,0.0,0.0,623.5349152088165,35.118980407714844,20.603973388671875,29.682960510253906,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,2.598063447078069,99.75416666666666
39563002,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,8.0,0.0001,0.0,650.0646667480469,35.118980407714844,20.517892837524414,30.21927261352539,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,2.6002598810195923,99.796
39563005,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,8.0,0.0015,0.0,657.7149846553802,35.118980407714844,20.389223098754883,29.75088119506836,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,2.630861047744751,99.788
39563008,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,16.0,0.0,0.0,1307.1233458518982,35.118980407714844,20.22573471069336,31.732568740844727,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,5.228494639396668,99.8
39563011,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,16.0,0.0001,0.0,1307.485283613205,35.118980407714844,20.201107025146484,31.65501594543457,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,5.229942413330078,99.72
39563014,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,16.0,0.0015,0.0,1306.977462530136,35.118980407714844,20.253042221069336,31.86772918701172,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,5.227911125183105,99.724
39563017,saugeenday/D,30.0,20.0,1.0,2400.0,5e-06,32.0,0.0,0.0,2397.2877085208893,35.118980407714844,20.1862850189209,30.324567794799805,229.0,49.0,Early stopping due no time.,10.468506690196074,99.78165938864629
