PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39562873,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,2.0,0.0,0.0,142.42820930480957,14.616809844970703,9.900049209594727,11.614425659179688,250.0,49.0,Early stopping due to no improvement (AdaptiveES).,0.5697134981155395,99.736
39562876,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,137.0452115535736,14.616809844970703,9.859298706054688,11.200222969055176,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,0.5710229774316152,99.72916666666667
39562879,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,136.97903513908386,14.616809844970703,9.769079208374023,11.06675910949707,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,0.5707472662130991,99.725
39562882,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,4.0,0.0,0.0,248.89829063415527,14.616809844970703,9.859752655029297,11.867534637451172,230.0,19.0,Early stopping due to no improvement (AdaptiveES).,1.0821679364080015,99.72173913043478
39562884,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,251.4325075149536,14.616809844970703,9.863910675048828,13.310956001281738,230.0,19.0,Early stopping due to no improvement (AdaptiveES).,1.0931862209154213,99.6086956521739
39562887,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,627.4269268512726,14.616809844970703,9.015772819519043,9.900921821594238,580.0,379.0,Early stopping due to no improvement (AdaptiveES).,1.081771233986164,99.88448275862069
39562890,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,8.0,0.0,0.0,464.46296429634094,14.616809844970703,10.128750801086426,12.696944236755371,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.1111968517303468,99.7090909090909
39562893,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,464.4971992969513,14.616809844970703,9.724884033203125,11.32369613647461,220.0,19.0,Early stopping due to no improvement (AdaptiveES).,2.1113520524718545,99.61818181818182
39562896,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,485.43384647369385,14.616809844970703,10.340034484863281,11.665831565856934,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,2.110583315724912,99.71739130434783
39562899,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,16.0,0.0,0.0,973.8244121074677,14.616809844970703,9.867246627807617,10.148866653442383,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,4.234020484012106,99.65652173913044
39562902,saugeenday/W,8.0,20.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1652.1722910404205,14.616809844970703,9.116216659545898,14.251458168029785,390.0,189.0,Early stopping due to no improvement (AdaptiveES).,4.236339614941524,99.83076923076923
