PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39575882,solar/W,8,137,1,2400,0.0005,2,0.0,0.0,126.62457823753357,1065.22861328125,827.005230102539,873.3167164611816,300,99,Early stopping due to no improvement (AdaptiveES).,0.42208313941955566,12.983333333333333
39575883,solar/W,8,137,1,2400,0.0005,2,0.0001,0.0,121.0174298286438,1065.22861328125,818.1491621398926,849.3864460754395,280,79,Early stopping due to no improvement (AdaptiveES).,0.43220639313970294,12.79642857142857
39575884,solar/W,8,137,1,2400,0.0005,2,0.0015,0.0,176.5576822757721,1065.22861328125,796.7415856933594,909.0520330810547,440,239,Early stopping due to no improvement (AdaptiveES).,0.40126834457570854,13.252272727272727
39575885,solar/W,8,137,1,2400,0.0005,4,0.0,0.0,96.74314904212952,1065.22861328125,826.2674308776856,845.3540927124023,210,9,Early stopping due to no improvement (AdaptiveES).,0.4606832595098586,15.333333333333334
39575886,solar/W,8,137,1,2400,0.0005,4,0.0001,0.0,172.71227383613586,1065.22861328125,786.181343536377,810.9163520812988,420,219,Early stopping due to no improvement (AdaptiveES).,0.4112206674757458,15.085714285714285
39575887,solar/W,8,137,1,2400,0.0005,4,0.0015,0.0,216.68280220031738,1065.22861328125,784.380083618164,812.3978976440429,530,329,Early stopping due to no improvement (AdaptiveES).,0.4088363188617634,15.137735849056604
39575888,solar/W,8,137,1,2400,0.0005,8,0.0,0.0,97.84902334213257,1065.22861328125,832.0761711120606,1040.6011286926268,220,19,Early stopping due to no improvement (AdaptiveES).,0.4447697812860662,19.827272727272728
39575889,solar/W,8,137,1,2400,0.0005,8,0.0001,0.0,100.05917692184448,1065.22861328125,828.6045739746094,882.453265838623,220,19,Early stopping due to no improvement (AdaptiveES).,0.4548159415071661,19.509090909090908
39575890,solar/W,8,137,1,2400,0.0005,8,0.0015,0.0,115.76480865478516,1065.22861328125,826.7810260009766,838.5427333068848,260,59,Early stopping due to no improvement (AdaptiveES).,0.4452505542681767,19.28846153846154
39575891,solar/W,8,137,1,2400,0.0005,16,0.0,0.0,122.42098617553711,1065.22861328125,763.8301107788086,844.9946923828124,280,69,Early stopping due to no improvement (AdaptiveES).,0.4372190764972142,29.5
39575892,solar/W,8,137,1,2400,0.0005,16,0.0001,0.0,117.85436654090881,1065.22861328125,793.9930192565918,853.8126071166993,260,49,Early stopping due to no improvement (AdaptiveES).,0.4532873841432425,29.373076923076923
39575893,solar/W,8,137,1,2400,0.0005,16,0.0015,0.0,116.76539659500122,1065.22861328125,779.4531510925293,860.925542602539,270,59,Early stopping due to no improvement (AdaptiveES).,0.4324657016330295,29.7
39575894,solar/W,8,137,1,2400,0.0005,32,0.0,0.0,132.04318928718567,1065.22861328125,768.0632727050781,862.3250085449218,300,99,Early stopping due to no improvement (AdaptiveES).,0.440145145257314,50.36333333333334
39575895,solar/W,8,137,1,2400,0.0005,32,0.0001,0.0,229.76359033584595,1065.22861328125,861.6081408691406,874.2303065490722,560,349,Early stopping due to no improvement (AdaptiveES).,0.4102928408554622,49.81071428571428
39575896,solar/W,8,137,1,2400,0.0005,32,0.0015,0.0,99.21051120758057,1065.22861328125,875.6847261047363,982.0770520019531,210,9,Early stopping due to no improvement (AdaptiveES).,0.4724324294498989,50.26190476190476
39575897,solar/W,8,137,1,2400,0.0005,64,0.0,0.0,136.06698632240295,1065.22861328125,835.6217993164063,949.1639122009277,280,69,Early stopping due to no improvement (AdaptiveES).,0.4859546593257359,70.88214285714285
39575898,solar/W,8,137,1,2400,0.0005,64,0.0001,0.0,181.83914828300476,1065.22861328125,788.2566326904297,823.0916888427735,380,179,Early stopping due to no improvement (AdaptiveES).,0.47852505821930735,71.15
39575899,solar/W,8,137,1,2400,0.0005,64,0.0015,0.0,134.28628492355347,1065.22861328125,834.5664520263672,943.891884765625,270,69,Early stopping due to no improvement (AdaptiveES).,0.49735789828830296,70.51481481481481
39575900,solar/W,8,137,1,2400,5e-05,2,0.0,0.0,130.93326616287231,1065.22861328125,835.2601327514649,855.717668762207,300,89,Early stopping due to no improvement (AdaptiveES).,0.436445422967275,12.773333333333333
