PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39550460,us_births/D,30.0,20.0,1.0,2400.0,0.0005,2.0,0.0,0.0,165.97739005088806,198.20724487304688,155.34188842773438,230.5537872314453,240.0,29.0,Early stopping due to no improvement (AdaptiveES).,0.6915738314390183,99.79166666666667
39550463,us_births/D,30.0,20.0,1.0,2400.0,0.0005,2.0,0.0001,0.0,254.9299190044403,198.20724487304688,143.46861267089844,200.73428344726562,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,0.6890006574424538,99.85945945945946
39550466,us_births/D,30.0,20.0,1.0,2400.0,0.0005,2.0,0.0015,0.0,179.25338792800903,198.20724487304688,158.9319610595703,186.42562866210938,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,0.689436648442195,99.79230769230769
39550469,us_births/D,30.0,20.0,1.0,2400.0,0.0005,4.0,0.0,0.0,358.2694342136383,198.20724487304688,159.3133087158203,189.42724609375,270.0,69.0,Early stopping due to no improvement (AdaptiveES).,1.326925081676907,99.81111111111112
39550472,us_births/D,30.0,20.0,1.0,2400.0,0.0005,4.0,0.0001,0.0,305.27988386154175,198.20724487304688,157.7118377685547,226.10472106933594,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,1.3273050805796747,99.77391304347826
39550475,us_births/D,30.0,20.0,1.0,2400.0,0.0005,4.0,0.0015,0.0,318.0102849006653,198.20724487304688,160.61019897460938,179.59844970703125,240.0,39.0,Early stopping due to no improvement (AdaptiveES).,1.325044122338295,99.775
39550478,us_births/D,30.0,20.0,1.0,2400.0,0.0005,8.0,0.0,0.0,546.0576150417328,198.20724487304688,147.93408203125,264.5743408203125,210.0,9.0,Early stopping due to no improvement (AdaptiveES).,2.600275865055266,99.66190476190476
39550481,us_births/D,30.0,20.0,1.0,2400.0,0.0005,8.0,0.0001,0.0,572.3781170845032,198.20724487304688,147.9304656982422,256.5715026855469,220.0,9.0,Early stopping due to no improvement (AdaptiveES).,2.6017199798063797,99.7090909090909
39550484,us_births/D,30.0,20.0,1.0,2400.0,0.0005,8.0,0.0015,0.0,571.9896762371063,198.20724487304688,147.96177673339844,216.29978942871094,220.0,9.0,Early stopping due to no improvement (AdaptiveES).,2.599954342842102,99.74090909090908
39550487,us_births/D,30.0,20.0,1.0,2400.0,0.0005,16.0,0.0,0.0,1203.9812207221985,198.20724487304688,164.75576782226562,259.82000732421875,230.0,19.0,Early stopping due to no improvement (AdaptiveES).,5.234702307245006,99.74782608695652
39550490,us_births/D,30.0,20.0,1.0,2400.0,0.0005,16.0,0.0001,0.0,1202.8954532146454,198.20724487304688,162.53915405273438,217.05723571777344,230.0,29.0,Early stopping due to no improvement (AdaptiveES).,5.22998147736425,99.77826086956522
39550493,us_births/D,30.0,20.0,1.0,2400.0,0.0005,16.0,0.0015,0.0,1151.7434978485107,198.20724487304688,169.8610382080078,196.1934051513672,220.0,9.0,Early stopping due to no improvement (AdaptiveES).,5.235199003869837,99.77272727272727
