PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39550462,us_births/M,12,2,1,2400,0.0005,2,0.0,0.0,25.581901788711548,2994.200439453125,2994.200439453125,4224.66943359375,210,0,Early stopping due to no improvement (AdaptiveES).,0.12181987989516485,24.395238095238096
39550465,us_births/M,12,2,1,2400,0.0005,2,0.0001,0.0,25.59947156906128,2994.200439453125,2994.200439453125,5027.9375,210,0,Early stopping due to no improvement (AdaptiveES).,0.1219035409745716,24.228571428571428
39550468,us_births/M,12,2,1,2400,0.0005,2,0.0015,0.0,25.09148931503296,2994.200439453125,2994.200439453125,4443.29150390625,210,0,Early stopping due to no improvement (AdaptiveES).,0.11948459034874326,24.923809523809524
39550471,us_births/M,12,2,1,2400,0.0005,4,0.0,0.0,25.131674766540527,2994.200439453125,2994.200439453125,5266.56787109375,210,0,Early stopping due to no improvement (AdaptiveES).,0.11967592125847226,43.385714285714286
39550474,us_births/M,12,2,1,2400,0.0005,4,0.0001,0.0,26.01659345626831,2994.200439453125,2994.200439453125,5764.265625,210,0,Early stopping due to no improvement (AdaptiveES).,0.12388985270545597,41.77619047619048
39550477,us_births/M,12,2,1,2400,0.0005,4,0.0015,0.0,27.530928373336792,2994.200439453125,2994.200439453125,4019.875,210,0,Early stopping due to no improvement (AdaptiveES).,0.13110033557528541,43.01428571428571
39550480,us_births/M,12,2,1,2400,0.0005,8,0.0,0.0,26.330363035202026,2994.200439453125,2994.200439453125,7558.33837890625,210,0,Early stopping due to no improvement (AdaptiveES).,0.12538416045052664,72.94761904761904
39550483,us_births/M,12,2,1,2400,0.0005,8,0.0001,0.0,26.09459614753723,2994.200439453125,2994.200439453125,3720.989501953125,210,0,Early stopping due to no improvement (AdaptiveES).,0.1242605935959589,74.02380952380952
39550486,us_births/M,12,2,1,2400,0.0005,8,0.0015,0.0,46.03733539581299,2994.200439453125,2945.78125,3593.908935546875,370,169,Early stopping due to no improvement (AdaptiveES).,0.12442622635815595,73.02432432432433
39550489,us_births/M,12,2,1,2400,0.0005,16,0.0,0.0,55.80440306663513,2994.200439453125,2966.78125,5765.671875,290,89,Early stopping due to no improvement (AdaptiveES).,0.19243003253279062,87.1448275862069
39550492,us_births/M,12,2,1,2400,0.0005,16,0.0001,0.0,40.63349914550781,2994.200439453125,2994.200439453125,5098.17724609375,210,0,Early stopping due to no improvement (AdaptiveES).,0.19349397818247477,87.14285714285714
39550495,us_births/M,12,2,1,2400,0.0005,16,0.0015,0.0,40.95623517036438,2994.200439453125,2994.200439453125,5435.15625,210,0,Early stopping due to no improvement (AdaptiveES).,0.19503109795706614,86.35714285714286
39550498,us_births/M,12,2,1,2400,0.0005,32,0.0,0.0,72.77298331260681,2994.200439453125,2994.200439453125,3748.122314453125,210,0,Early stopping due to no improvement (AdaptiveES).,0.3465394655863444,92.41904761904762
39550501,us_births/M,12,2,1,2400,0.0005,32,0.0001,0.0,72.84524297714233,2994.200439453125,2994.200439453125,3929.919189453125,210,0,Early stopping due to no improvement (AdaptiveES).,0.34688352516719273,92.51904761904763
