PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39550458,us_births/W,8,14,1,2400,0.0005,2,0.0,0.0,50.716373682022095,1637.3310546875,1074.708984375,1207.576171875,360,159,Early stopping due to no improvement (AdaptiveES).,0.14087983899646336,84.31111111111112
39550459,us_births/W,8,14,1,2400,0.0005,2,0.0001,0.0,47.56945753097534,1637.3310546875,889.2255859375,1071.8291015625,330,129,Early stopping due to no improvement (AdaptiveES).,0.1441509145678896,83.23030303030303
39550461,us_births/W,8,14,1,2400,0.0005,2,0.0015,0.0,46.7704119682312,1637.3310546875,1370.0078125,1709.9013671875,330,129,Early stopping due to no improvement (AdaptiveES).,0.1417296012242635,84.2939393939394
39550464,us_births/W,8,14,1,2400,0.0005,4,0.0,0.0,61.32866072654724,1637.3310546875,727.96875,791.205078125,260,59,Early stopping due to no improvement (AdaptiveES).,0.2358806931055509,90.51153846153846
39550467,us_births/W,8,14,1,2400,0.0005,4,0.0001,0.0,56.752591609954834,1637.3310546875,885.8984375,1296.6513671875,240,39,Early stopping due to no improvement (AdaptiveES).,0.2364704598983129,90.2125
39550470,us_births/W,8,14,1,2400,0.0005,4,0.0015,0.0,54.04457497596741,1637.3310546875,730.611328125,1123.94140625,230,29,Early stopping due to no improvement (AdaptiveES).,0.2349777843641198,90.75652173913043
39550473,us_births/W,8,14,1,2400,0.0005,8,0.0,0.0,103.86128830909729,1637.3310546875,925.552734375,1054.876953125,240,39,Early stopping due to no improvement (AdaptiveES).,0.43275668819745383,97.37916666666666
39550476,us_births/W,8,14,1,2400,0.0005,8,0.0001,0.0,190.17582941055298,1637.3310546875,652.7626953125,1150.375,440,239,Early stopping due to no improvement (AdaptiveES).,0.43221871094270187,97.48863636363636
39550479,us_births/W,8,14,1,2400,0.0005,8,0.0015,0.0,211.43110513687134,1637.3310546875,914.017578125,1016.046875,490,289,Early stopping due to no improvement (AdaptiveES).,0.43149278747792147,97.60816326530612
39550482,us_births/W,8,14,1,2400,0.0005,16,0.0,0.0,188.57017374038696,1637.3310546875,802.2958984375,1354.5908203125,230,29,Early stopping due to no improvement (AdaptiveES).,0.8198718464892844,99.54782608695652
39550485,us_births/W,8,14,1,2400,0.0005,16,0.0001,0.0,212.71853947639465,1637.3310546875,908.9150390625,1126.9755859375,260,59,Early stopping due to no improvement (AdaptiveES).,0.8181495510614836,99.6423076923077
39550488,us_births/W,8,14,1,2400,0.0005,16,0.0015,0.0,196.95797157287598,1637.3310546875,868.0947265625,1126.8515625,240,39,Early stopping due to no improvement (AdaptiveES).,0.8206595093011856,99.5875
39550491,us_births/W,8,14,1,2400,0.0005,32,0.0,0.0,473.40316367149353,1637.3310546875,873.6064453125,1122.005859375,300,99,Early stopping due to no improvement (AdaptiveES).,1.5780114523569744,99.69
39550494,us_births/W,8,14,1,2400,0.0005,32,0.0001,0.0,737.8963444232941,1637.3310546875,706.23046875,769.90234375,470,269,Early stopping due to no improvement (AdaptiveES).,1.5699930601931633,99.79787234042553
39550497,us_births/W,8,14,1,2400,0.0005,32,0.0015,0.0,659.18097615242,1637.3310546875,476.529296875,1059.9033203125,420,219,Early stopping due to no improvement (AdaptiveES).,1.5694790737969535,99.77857142857142
39550500,us_births/W,8,14,1,2400,0.0005,64,0.0,0.0,773.0516932010651,1637.3310546875,838.4267578125,1176.48046875,250,49,Early stopping due to no improvement (AdaptiveES).,3.09220797252655,99.628
39550503,us_births/W,8,14,1,2400,0.0005,64,0.0001,0.0,773.5007581710815,1637.3310546875,718.0947265625,1056.33984375,250,49,Early stopping due to no improvement (AdaptiveES).,3.094004264831543,99.592
39550506,us_births/W,8,14,1,2400,0.0005,64,0.0015,0.0,772.9795160293579,1637.3310546875,822.123046875,1027.1240234375,250,49,Early stopping due to no improvement (AdaptiveES).,3.0919192600250245,99.628
39550509,us_births/W,8,14,1,2400,5e-05,2,0.0,0.0,34.027071475982666,1637.3310546875,1102.939453125,1299.0888671875,240,29,Early stopping due to no improvement (AdaptiveES).,0.14178017874558765,83.62916666666666
