dataset,context_length,num_series,ckpt_1_delta_pct,ckpt_2_delta_pct,ckpt_3_delta_pct,ckpt_4_delta_pct,ckpt_5_delta_pct,mean_delta_pct,min_delta_pct,max_delta_pct,improved
LOOP_SEATTLE/D,365,323,-2.342,-2.3537,-2.3916,-0.0189,-2.2211,-1.8655,-2.3916,-0.0189,True
M_DENSE/D,730,30,12.9066,20.6399,15.8111,32.2191,16.8165,19.6786,12.9066,32.2191,False
M_DENSE/H,17520,30,-1.8033,1.5564,-2.0678,-3.0525,-6.3672,-2.3469,-6.3672,1.5564,True
SZ_TAXI/15T,2976,156,-1.8058,-1.825,-1.7789,-1.8505,-1.7515,-1.8023,-1.8505,-1.7515,True
SZ_TAXI/H,744,156,-2.1961,-2.2596,-2.2572,-1.6804,-1.259,-1.9305,-2.2596,-1.259,True
bitbrains_rnd/H,720,500,-1.2599,-2.0008,-0.1011,-2.6366,-4.8382,-2.1673,-4.8382,-0.1011,True
bizitobs_application,8834,1,30.5553,41.2073,25.1369,23.9278,38.3845,31.8423,23.9278,41.2073,False
bizitobs_service,8835,21,11.3518,-0.948,2.4158,14.2154,0.3865,5.4843,-0.948,14.2154,False
covid_deaths,212,266,-12.0392,-11.2355,-9.5933,-5.1617,8.9292,-5.8201,-12.0392,8.9292,True
electricity/D,1461,370,-1.7273,4.1601,-0.7792,-3.0062,-3.1889,-0.9083,-3.1889,4.1601,True
electricity/W,208,370,0.6743,6.4622,24.5534,12.744,-0.3167,8.8234,-0.3167,24.5534,False
ett1/15T,69680,1,9.5891,0.5889,0.2976,0.2416,0.3311,2.2097,0.2416,9.5891,False
ett1/D,725,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ett1/H,17420,1,-3.1935,-2.3711,-4.321,-2.6769,2.2074,-2.071,-4.321,2.2074,True
ett1/W,103,1,1.8302,-5.1227,1.3907,-9.2841,5.1159,-1.214,-9.2841,5.1159,True
ett2/15T,69680,1,-6.2352,-2.6532,-4.4813,-0.1045,6.091,-1.4766,-6.2352,6.091,True
ett2/D,725,1,-5.9851,-21.1214,-13.9181,-34.0766,-12.3563,-17.4915,-34.0766,-5.9851,True
ett2/H,17420,1,-6.6845,-2.4964,-9.4052,-9.1046,-6.2315,-6.7844,-9.4052,-2.4964,True
ett2/W,103,1,46.4228,134.0937,22.2728,74.2966,35.3647,62.4901,22.2728,134.0937,False
hierarchical_sales/D,1825,118,-0.5974,-0.5974,-0.5995,-2.3929,-2.2401,-1.2855,-2.3929,-0.5974,True
hierarchical_sales/W,260,118,1.068,4.4946,4.4386,4.3943,1.6826,3.2156,1.068,4.4946,False
hospital,84,767,2.7123,-0.4778,1.9811,0.8901,0.6626,1.1537,-0.4778,2.7123,False
jena_weather/10T,52704,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
jena_weather/D,366,1,21.5367,4.7797,4.6341,3.7609,-0.165,6.9093,-0.165,21.5367,False
jena_weather/H,8784,1,5.2187,3.1966,1.2967,-0.5442,-1.4526,1.543,-1.4526,5.2187,False
saugeenday/D,23741,1,-3.8117,-3.786,-3.3525,-1.0299,-2.8715,-2.9703,-3.8117,-1.0299,True
saugeenday/M,780,1,4.603,8.4501,6.7635,11.7856,7.8522,7.8909,4.603,11.7856,False
saugeenday/W,3391,1,7.9818,-2.5794,-1.0721,11.8341,9.8893,5.2107,-2.5794,11.8341,False
solar/D,365,137,10.1347,9.0802,25.7578,13.2596,9.7514,13.5967,9.0802,25.7578,False
solar/W,52,137,99.8288,108.1452,109.7028,157.0543,178.9811,130.7424,99.8288,178.9811,False
us_births/D,7305,1,54.4522,17.0319,17.0522,17.0258,10.2407,23.1606,10.2407,54.4522,False
us_births/M,240,1,8.5832,6.3948,6.5836,7.0802,6.4379,7.016,6.3948,8.5832,False
us_births/W,1043,1,14.0405,-0.9019,17.7931,2.2887,-4.6624,5.7116,-4.6624,17.7931,False
